-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  14.1093   Longitude 122.0213 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 47.78 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.86,25.42,26.69,28.94,29.78,29.1,28.4,27.89,27.87,27.37,26.83,26.37,27.55
T2M,2017,25.33,24.84,26.06,27.96,29.14,28.94,27.89,28.11,28.14,27.55,27.17,26.21,27.29
T2M,2018,25.48,25.66,26.08,27.55,28.92,28.17,27.5,27.51,27.56,27.47,27.05,26.4,27.12
T2M,2019,25.26,25.48,27.15,29.22,29.92,29.33,28.3,27.8,27.57,27.57,27.12,26.43,27.61
T2M,2020,25.88,25.05,26.5,27.72,28.95,28.58,28.23,27.96,28.2,27.63,26.97,26.51,27.36
QV2M,2016,17.58,16.97,17.64,18.31,19.23,19.59,19.35,20.26,19.9,19.9,19.41,19.29,18.98
QV2M,2017,17.46,16.6,17.21,18.19,19.9,19.78,19.65,19.9,19.96,19.9,20.08,19.04,18.98
QV2M,2018,18.07,17.7,17.15,18.31,19.53,20.02,20.08,19.59,19.65,18.92,18.68,18.74,18.86
QV2M,2019,16.36,15.38,16.24,17.52,19.29,20.45,19.65,20.26,19.59,19.23,19.41,18.62,18.49
QV2M,2020,17.33,16.42,17.94,18.86,20.51,19.84,19.71,19.65,19.84,20.39,19.71,19.53,19.17
CLRSKY_KT,2016,0.69,0.69,0.7,0.7,0.69,0.69,0.69,0.67,0.68,0.68,0.68,0.66,0.69
CLRSKY_KT,2017,0.67,0.69,0.7,0.7,0.69,0.69,0.67,0.68,0.68,0.67,0.68,0.66,0.68
CLRSKY_KT,2018,0.67,0.69,0.69,0.7,0.7,0.67,0.66,0.66,0.68,0.69,0.69,0.67,0.68
CLRSKY_KT,2019,0.7,0.71,0.71,0.71,0.68,0.69,0.68,0.67,0.67,0.69,0.66,0.67,0.69
CLRSKY_KT,2020,0.68,0.7,0.7,0.7,0.69,0.69,0.69,0.68,0.68,0.67,0.67,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,4.42,4.53,5.68,6.79,6.26,5.42,5.33,5.12,5.14,4.27,3.81,3.3,5.01
ALLSKY_SFC_SW_DWN,2017,3.23,4.26,5.41,5.96,6.21,5.97,4.36,5.48,4.82,3.99,3.79,3.15,4.72
ALLSKY_SFC_SW_DWN,2018,3.39,4.56,5.26,6.29,6.28,5.16,4.99,4.99,5.2,5.22,4.46,3.53,4.94
ALLSKY_SFC_SW_DWN,2019,4.36,5.51,6.28,6.78,6.12,6.13,5.37,4.79,5.02,4.89,3.81,3.88,5.24
ALLSKY_SFC_SW_DWN,2020,4.14,4.64,6.16,6.22,6.27,5.93,5.41,4.94,5.1,3.87,3.75,3.4,4.98
