-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  16.5755   Longitude 120.7353 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 715.65 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,21.56,21.55,23.33,25.61,25.3,24.52,24.37,23.31,23.39,23.32,22.8,22.33,23.45
T2M,2017,21.04,20.87,22.85,24.14,24.51,24.33,23.73,23.69,23.76,23.52,23.26,21.89,23.14
T2M,2018,21.62,21.95,22.67,24.53,25.14,23.87,23.16,23.11,23.3,23.14,22.59,22.13,23.11
T2M,2019,20.75,21.36,23.43,25.35,24.73,24.85,23.58,23.36,23.14,23.53,22.77,22.01,23.25
T2M,2020,20.89,20.77,23.48,24.42,25.15,24.72,24.36,23.45,24.14,23.63,22.96,22.67,23.4
QV2M,2016,14.28,13.85,14.89,15.38,17.15,17.4,17.58,17.94,17.58,17.15,15.75,15.62,16.24
QV2M,2017,14.04,13.85,14.77,15.56,16.97,17.64,17.58,17.82,17.64,16.97,16.54,15.08,16.24
QV2M,2018,14.53,14.28,13.92,15.87,17.15,17.94,17.64,17.88,17.46,16.3,15.26,14.77,16.11
QV2M,2019,13.06,12.76,13.98,15.93,17.09,17.94,17.64,18.13,17.52,16.36,16.24,14.95,15.99
QV2M,2020,13.61,12.76,15.01,15.99,17.64,17.7,17.58,17.52,17.94,17.64,16.3,16.3,16.36
CLRSKY_KT,2016,0.7,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2017,0.7,0.7,0.71,0.7,0.7,0.7,0.69,0.7,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2018,0.69,0.71,0.71,0.71,0.71,0.69,0.7,0.69,0.7,0.7,0.71,0.7,0.7
CLRSKY_KT,2019,0.71,0.73,0.71,0.7,0.69,0.7,0.7,0.7,0.69,0.7,0.69,0.7,0.7
CLRSKY_KT,2020,0.7,0.72,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,5.07,5.23,5.91,6.53,6.03,5.68,5.4,4.04,4.93,4.55,4.58,4.35,5.19
ALLSKY_SFC_SW_DWN,2017,4.62,5.12,6.17,6.49,5.69,6.04,4.73,5.05,4.98,4.71,4.41,4.15,5.18
ALLSKY_SFC_SW_DWN,2018,4.42,5.5,6.32,6.4,6.3,4.52,4.7,3.69,5.22,5.52,5.26,4.41,5.19
ALLSKY_SFC_SW_DWN,2019,5.07,6.06,6.31,6.2,5.66,5.58,4.95,4.09,4.21,5.59,4.16,4.58,5.2
ALLSKY_SFC_SW_DWN,2020,5.02,5.74,6.41,6.17,5.84,6.11,5.76,5.15,5.56,4.22,4.3,4.02,5.36
