-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  7.0476   Longitude 125.5935 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 55.94 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.7,26.8,27.37,28.64,28.83,28.39,28.28,28.28,27.99,28.08,27.48,27.67,27.88
T2M,2017,26.84,26.41,26.94,28.08,28.38,28.23,27.9,27.98,28.1,28.08,27.76,27.65,27.7
T2M,2018,26.98,27.41,27.63,28.18,28.65,27.99,27.88,27.62,27.89,28.32,27.65,27.46,27.8
T2M,2019,26.43,25.66,26.58,27.77,28.84,28.5,27.43,27.71,27.9,28.34,28.43,27.6,27.61
T2M,2020,27.29,26.7,27.32,28.24,28.93,28.21,27.89,28.07,28.38,28.12,28.13,27.75,27.92
QV2M,2016,17.33,17.52,17.33,18.13,19.04,18.49,18.19,18.43,18.37,18.62,18.68,18.62,18.25
QV2M,2017,18.68,17.88,18.25,18.43,19.04,18.43,18.07,18.43,18.37,18.74,18.74,18.74,18.49
QV2M,2018,18.43,18.31,17.7,18.68,18.98,18.55,18.62,18.68,18.31,18.31,18.68,18.86,18.49
QV2M,2019,17.94,16.42,17.4,18.43,19.23,19.1,18.31,18.68,18.43,18.43,18.43,18.49,18.31
QV2M,2020,18.37,17.64,17.82,18.01,19.29,18.55,18.19,18.37,18.43,18.62,18.68,18.55,18.37
CLRSKY_KT,2016,0.72,0.71,0.73,0.72,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2017,0.7,0.7,0.7,0.71,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.7
CLRSKY_KT,2018,0.7,0.71,0.71,0.71,0.7,0.7,0.69,0.69,0.7,0.7,0.7,0.7,0.7
CLRSKY_KT,2019,0.7,0.73,0.72,0.72,0.7,0.7,0.7,0.7,0.68,0.7,0.7,0.7,0.7
CLRSKY_KT,2020,0.71,0.71,0.72,0.73,0.7,0.7,0.7,0.7,0.71,0.69,0.7,0.7,0.7
ALLSKY_SFC_SW_DWN,2016,5.5,5.42,6.43,6.14,5.34,5.26,5.22,5.41,5.29,4.96,4.52,4.17,5.3
ALLSKY_SFC_SW_DWN,2017,3.76,4.36,4.67,5.74,5.25,5.13,5.09,5.34,5.12,4.63,4.34,4.61,4.84
ALLSKY_SFC_SW_DWN,2018,4.23,5.18,5.47,5.84,5.65,5.46,5.26,5.12,5.23,5.77,4.69,4.67,5.21
ALLSKY_SFC_SW_DWN,2019,4.06,5.8,5.65,5.79,5.5,5.07,4.74,5.5,5.67,5.48,5.26,4.59,5.25
ALLSKY_SFC_SW_DWN,2020,4.91,4.81,5.87,6.14,5.14,5.02,5.19,5.15,5.38,4.79,4.71,4.56,5.14
