-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  15.7599   Longitude 121.5599 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 656.97 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,21.51,21.07,23.23,25.22,25.29,24.55,24.58,23.85,23.8,23.43,22.37,22.08,23.42
T2M,2017,20.54,20.25,22,24.01,24.74,24.52,23.76,24.22,24.15,23.37,22.88,21.53,23.01
T2M,2018,21.19,21.65,22.06,24.12,25.51,24.37,23.67,23.44,23.94,23.26,22.37,21.87,23.12
T2M,2019,20.08,20.38,22.82,24.51,25.15,24.94,24.05,23.72,23.58,23.57,22.65,21.75,23.11
T2M,2020,20.96,20.02,22.87,23.91,25.3,24.71,24.25,23.77,24.6,23.55,22.71,22.37,23.26
QV2M,2016,14.65,14.04,15.01,15.56,17.21,17.46,17.33,18.01,17.52,17.46,16.24,16.24,16.42
QV2M,2017,14.47,13.92,14.65,15.81,17.4,17.64,17.58,17.82,17.82,17.15,17.09,15.44,16.42
QV2M,2018,14.83,14.53,14.1,15.5,16.72,17.64,17.7,17.76,17.33,16.17,15.56,15.32,16.11
QV2M,2019,13.61,13,13.98,15.69,17.52,18.01,17.7,18.07,17.52,16.48,16.48,15.5,16.11
QV2M,2020,14.16,13.12,15.08,15.99,17.82,17.52,17.33,17.33,17.94,17.76,16.85,16.66,16.48
CLRSKY_KT,2016,0.7,0.7,0.69,0.7,0.7,0.7,0.7,0.68,0.7,0.7,0.7,0.68,0.7
CLRSKY_KT,2017,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.7,0.7,0.68,0.7
CLRSKY_KT,2018,0.68,0.7,0.7,0.71,0.71,0.69,0.69,0.68,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.7,0.73,0.72,0.71,0.68,0.7,0.69,0.69,0.69,0.7,0.68,0.69,0.7
CLRSKY_KT,2020,0.7,0.71,0.71,0.7,0.7,0.7,0.7,0.69,0.7,0.69,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,4.34,4.49,5.14,6.39,5.99,5.36,5.43,4.31,5.08,4.23,3.87,3.42,4.84
ALLSKY_SFC_SW_DWN,2017,3.59,4.36,5.44,5.82,5.95,6,4.17,5.32,4.72,3.95,3.55,3.22,4.67
ALLSKY_SFC_SW_DWN,2018,3.52,4.96,5.57,6.12,6.19,4.71,4.67,4.19,5.26,5.27,4.57,3.27,4.85
ALLSKY_SFC_SW_DWN,2019,3.97,5.42,6,6.26,5.8,5.96,5.13,4.32,4.42,5.08,3.74,3.8,4.99
ALLSKY_SFC_SW_DWN,2020,4.11,4.69,5.96,5.8,6,5.91,5.62,4.62,5.31,3.76,3.8,3.29,4.9
