-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  20.4372   Longitude 121.9671 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 5.69 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,24.68,23.16,23.99,27.49,28.85,29.55,29.38,29.05,28.75,28.19,26.83,25.37,27.12
T2M,2017,24.32,23.36,24.26,25.95,27.98,29.51,29.26,29.3,29.43,28.4,27.08,24.16,26.94
T2M,2018,23.8,23.69,24.51,25.88,28.44,29.2,28.82,28.79,28.36,27.01,26.58,25.57,26.73
T2M,2019,24.76,25.29,25.49,27.3,27.85,29.57,29.34,29.02,28.3,27.26,25.86,24.8,27.08
T2M,2020,24.22,23.92,25.4,25.87,28.55,29.48,29.58,29.26,29.23,28.23,26.77,24.69,27.11
QV2M,2016,15.56,14.16,15.26,18.8,20.39,21.42,20.87,21.06,20.57,19.9,17.82,16.36,18.55
QV2M,2017,14.65,13.85,15.01,17.21,19.71,21.12,20.87,21.12,20.94,19.17,18.74,14.77,18.13
QV2M,2018,15.08,15.01,15.08,17.33,19.41,21.06,20.51,20.57,19.84,17.82,17.64,16.72,18.01
QV2M,2019,14.89,15.26,16.36,18.62,19.29,21.36,21,21.42,20.08,18.25,16.97,15.99,18.31
QV2M,2020,14.59,14.34,16.72,17.03,20.26,20.81,21,20.94,20.45,19.17,17.76,16.48,18.31
CLRSKY_KT,2016,0.66,0.67,0.66,0.67,0.69,0.7,0.7,0.68,0.68,0.69,0.68,0.66,0.68
CLRSKY_KT,2017,0.68,0.68,0.67,0.69,0.69,0.7,0.7,0.7,0.7,0.68,0.68,0.66,0.69
CLRSKY_KT,2018,0.67,0.68,0.7,0.7,0.71,0.7,0.7,0.68,0.7,0.69,0.69,0.67,0.69
CLRSKY_KT,2019,0.69,0.71,0.69,0.68,0.68,0.7,0.7,0.68,0.68,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.68,0.7,0.69,0.67,0.7,0.7,0.7,0.69,0.69,0.69,0.68,0.66,0.69
ALLSKY_SFC_SW_DWN,2016,3.45,3.82,4.45,6.33,6.43,6.41,6.12,4.92,4.27,4.38,3.73,2.82,4.76
ALLSKY_SFC_SW_DWN,2017,3.44,3.85,5.29,5.89,5.7,6.64,5.77,5.51,5.66,4.32,3.5,2.65,4.85
ALLSKY_SFC_SW_DWN,2018,2.84,3.34,5.7,6,7.04,5.24,5.78,4.11,5.42,4.89,3.99,3.25,4.81
ALLSKY_SFC_SW_DWN,2019,3.59,5.22,5.58,6.04,5.2,5.8,5.9,4.66,4.36,5.03,3.4,3.19,4.83
ALLSKY_SFC_SW_DWN,2020,3.93,5.08,5.53,5.28,5.98,7.3,6.48,5.31,5.79,4.43,3.66,2.45,5.1
