-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  16.4851   Longitude 121.1403 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 758.0 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,20.66,20.13,22.65,25.19,25.18,24.42,24.26,23.58,23.5,22.78,21.52,21.15,22.93
T2M,2017,19.48,19.21,21.33,23.54,24.53,24.3,23.44,23.94,23.71,22.6,22.16,20.4,22.4
T2M,2018,20.22,20.58,21.08,23.54,25.29,24.19,23.44,23.21,23.6,22.55,21.5,20.87,22.51
T2M,2019,19.03,19.8,22.52,24.44,24.88,24.9,23.94,23.69,23.1,22.55,21.86,20.72,22.63
T2M,2020,19.87,19.02,22.46,23.61,25.26,24.48,23.98,23.36,24.15,22.89,21.89,21.55,22.73
QV2M,2016,14.22,13.67,14.77,14.95,16.66,17.15,16.91,17.46,17.09,17.03,15.87,15.81,15.99
QV2M,2017,14.04,13.55,14.47,15.56,17.03,17.27,17.15,17.4,17.46,16.72,16.72,14.95,16.05
QV2M,2018,14.4,14.22,13.73,15.32,16.17,17.15,17.33,17.33,16.97,15.87,15.2,14.95,15.75
QV2M,2019,13.18,12.57,13.49,15.44,17.21,17.58,17.27,17.64,17.09,16.11,16.11,15.08,15.75
QV2M,2020,13.67,12.76,14.71,15.56,17.21,17.27,16.91,16.91,17.52,17.46,16.48,16.3,16.11
CLRSKY_KT,2016,0.7,0.71,0.7,0.72,0.7,0.7,0.71,0.7,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2017,0.7,0.7,0.71,0.7,0.7,0.71,0.7,0.7,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2018,0.7,0.71,0.71,0.72,0.73,0.7,0.7,0.69,0.7,0.7,0.71,0.7,0.7
CLRSKY_KT,2019,0.71,0.73,0.73,0.72,0.7,0.7,0.7,0.7,0.7,0.71,0.69,0.7,0.7
CLRSKY_KT,2020,0.7,0.72,0.72,0.7,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,4.27,4.04,5.15,6.53,6.21,6.11,5.74,4.82,5.15,4.21,3.69,3.16,4.92
ALLSKY_SFC_SW_DWN,2017,3.5,3.82,5.36,5.68,6.07,6.43,5.01,5.45,5.15,3.82,3.28,2.77,4.7
ALLSKY_SFC_SW_DWN,2018,3.22,4.41,5.28,6.02,6.82,5.1,5.12,4.54,5.29,4.94,4.6,3.26,4.88
ALLSKY_SFC_SW_DWN,2019,4,5.69,6.11,6.36,5.86,6.43,5.51,4.89,4.42,4.8,3.16,3.45,5.05
ALLSKY_SFC_SW_DWN,2020,3.88,4.43,6.19,5.88,6.19,6.56,5.98,5.23,5.52,3.36,3.21,2.81,4.94
