-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  8.7869   Longitude 117.839 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 99.66 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.12,27.13,28.14,29.35,29.38,28.13,27.88,27.76,27.26,27.19,27.44,27.27,27.83
T2M,2017,26.92,26.27,26.86,28.27,28.55,27.71,27.48,27.68,27.67,27.57,27.65,27.33,27.51
T2M,2018,26.58,26.44,27.37,28.3,28.76,28.26,27.69,27.58,27.42,27.99,27.74,27.4,27.64
T2M,2019,26.54,26.12,27.39,28.79,29.51,28.59,27.53,27.78,27.87,27.83,27.66,27.38,27.76
T2M,2020,27.19,26.97,27.95,29.06,29.46,28.18,27.68,27.76,27.96,27.34,27.52,27.36,27.87
QV2M,2016,17.7,17.52,17.21,17.88,19.41,18.68,18.49,19.41,18.74,18.86,18.74,19.04,18.49
QV2M,2017,18.49,17.58,17.76,18.19,19.47,18.62,18.74,18.74,18.68,18.98,19.29,19.47,18.68
QV2M,2018,18.74,17.88,17.88,18.55,19.04,18.8,19.04,18.92,18.62,18.43,19.17,18.92,18.68
QV2M,2019,17.4,16.11,16.66,17.88,18.49,19.47,18.68,19.1,18.92,18.68,18.74,18.49,18.25
QV2M,2020,18.19,17.27,17.46,18.31,19.17,18.68,18.62,18.74,18.8,19.04,19.23,19.35,18.55
CLRSKY_KT,2016,0.7,0.7,0.7,0.7,0.69,0.68,0.69,0.68,0.69,0.68,0.69,0.68,0.69
CLRSKY_KT,2017,0.69,0.7,0.7,0.7,0.69,0.69,0.68,0.69,0.69,0.68,0.69,0.68,0.69
CLRSKY_KT,2018,0.68,0.7,0.7,0.7,0.69,0.68,0.66,0.67,0.68,0.69,0.69,0.68,0.69
CLRSKY_KT,2019,0.69,0.71,0.71,0.71,0.7,0.68,0.67,0.66,0.64,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.68,0.69
ALLSKY_SFC_SW_DWN,2016,5.92,5.81,6.71,6.73,5.63,4.66,4.95,4.79,4.41,4.28,4.75,4.07,5.22
ALLSKY_SFC_SW_DWN,2017,4.53,5.27,5.73,6.09,5.39,5.08,4.69,4.79,5.08,4.26,4.23,3.65,4.89
ALLSKY_SFC_SW_DWN,2018,3.84,5.17,6.11,6.16,5.19,5.37,4.14,4.84,4.38,5.37,4.49,4.75,4.98
ALLSKY_SFC_SW_DWN,2019,5.09,6.33,6.57,6.67,5.9,4.73,4.28,4.7,5.19,4.94,4.51,4.61,5.28
ALLSKY_SFC_SW_DWN,2020,5.52,5.77,6.55,6.43,6.07,4.86,4.92,5.14,4.95,3.87,4.25,3.98,5.19
