-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  8.9481   Longitude 125.5411 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 301.61 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,23.85,23.96,24.34,25.47,26.01,26.12,25.75,26.21,25.73,25.3,24.56,24.91,25.19
T2M,2017,24,23.48,24.33,25.55,25.94,26.1,25.59,26.16,26.06,25.51,25.05,24.89,25.23
T2M,2018,24.28,24.41,24.51,25.55,26.37,25.87,25.7,25.81,25.49,25.8,24.9,24.54,25.27
T2M,2019,23.51,22.78,23.94,24.95,26.76,26.38,25.63,26.02,26.17,25.89,25.37,24.59,25.18
T2M,2020,24.42,23.65,24.29,25.05,26.51,25.58,25.66,25.84,26.23,25.72,25.25,24.74,25.25
QV2M,2016,16.42,16.66,16.36,17.52,18.68,18.13,17.7,17.88,17.94,18.01,17.88,18.07,17.64
QV2M,2017,17.82,16.91,17.27,17.76,18.98,17.94,17.64,18.01,18.01,18.13,18.49,17.94,17.88
QV2M,2018,17.88,17.58,16.97,17.88,18.19,18.01,17.94,17.46,17.82,17.64,17.94,18.07,17.76
QV2M,2019,16.78,15.08,15.99,17.27,18.13,18.62,17.76,17.58,17.4,17.88,17.76,17.7,17.33
QV2M,2020,17.33,16.42,16.72,17.27,18.98,18.13,17.88,17.88,18.07,18.31,18.31,18.31,17.82
CLRSKY_KT,2016,0.71,0.71,0.73,0.71,0.7,0.7,0.7,0.69,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2017,0.7,0.7,0.7,0.71,0.7,0.7,0.69,0.7,0.7,0.69,0.7,0.7,0.7
CLRSKY_KT,2018,0.7,0.7,0.71,0.71,0.7,0.69,0.68,0.68,0.7,0.7,0.7,0.7,0.7
CLRSKY_KT,2019,0.7,0.72,0.72,0.72,0.7,0.7,0.69,0.69,0.67,0.7,0.69,0.7,0.7
CLRSKY_KT,2020,0.7,0.71,0.72,0.72,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,5.11,4.92,6.27,6.11,5.38,5.34,5.34,5.38,5.15,4.77,4.05,4.07,5.16
ALLSKY_SFC_SW_DWN,2017,3.41,3.78,4.59,5.76,5.15,5.3,5,5.39,5.16,4.49,4.2,4.2,4.71
ALLSKY_SFC_SW_DWN,2018,3.9,4.66,5.22,5.79,5.82,5.37,5,5.05,5.07,5.6,4.26,4.03,4.98
ALLSKY_SFC_SW_DWN,2019,3.77,5.14,5.53,5.58,6.01,5.13,4.82,5.24,5.45,5.32,4.89,4.14,5.08
ALLSKY_SFC_SW_DWN,2020,4.66,4.78,5.8,6,5.33,5.17,5.14,5.18,5.22,4.42,4.63,4.2,5.04
