-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  13.4167   Longitude 121.2001 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 57.61 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.23,25.68,27.13,29.15,29.83,29.34,28.71,28.31,28.05,27.79,27.19,26.72,27.85
T2M,2017,25.62,25.19,26.37,28.15,29.33,29.3,28.26,28.48,28.51,28.1,27.6,26.58,27.63
T2M,2018,25.83,26.08,26.53,27.98,29.19,28.58,27.91,27.9,27.87,27.87,27.33,26.56,27.48
T2M,2019,25.45,25.56,27.29,28.83,29.9,29.58,28.59,28.21,28.01,27.98,27.6,26.62,27.81
T2M,2020,26.12,25.38,26.97,28.4,29.68,28.96,28.64,28.34,28.6,27.95,27.34,26.9,27.78
QV2M,2016,17.64,17.03,17.7,18.37,19.35,19.29,19.04,19.78,19.41,19.47,19.17,19.1,18.8
QV2M,2017,17.46,16.66,17.33,18.25,19.71,19.35,19.35,19.47,19.47,19.35,19.9,18.86,18.8
QV2M,2018,18.07,17.58,17.27,18.43,19.47,19.53,19.71,19.04,19.17,18.68,18.68,18.62,18.68
QV2M,2019,16.48,15.69,16.54,17.82,19.17,20.14,19.1,19.71,19.1,18.98,19.17,18.43,18.37
QV2M,2020,17.4,16.54,17.88,18.8,20.2,19.65,19.53,19.1,19.41,19.9,19.47,19.35,18.92
CLRSKY_KT,2016,0.69,0.7,0.7,0.71,0.7,0.69,0.69,0.68,0.69,0.69,0.69,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.7,0.7,0.68,0.69,0.69,0.68,0.69,0.67,0.69
CLRSKY_KT,2018,0.67,0.7,0.7,0.7,0.7,0.68,0.67,0.67,0.69,0.69,0.7,0.68,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.72,0.69,0.69,0.68,0.67,0.67,0.69,0.67,0.68,0.7
CLRSKY_KT,2020,0.69,0.7,0.71,0.7,0.7,0.7,0.7,0.68,0.69,0.68,0.68,0.68,0.69
ALLSKY_SFC_SW_DWN,2016,4.68,4.94,6.2,6.77,6.07,5.3,5.36,4.7,5.03,4.38,4,3.6,5.08
ALLSKY_SFC_SW_DWN,2017,3.57,4.68,5.69,6.25,5.94,5.89,4.46,5.31,5.04,4.2,4.28,3.43,4.89
ALLSKY_SFC_SW_DWN,2018,3.63,4.91,5.64,6.6,6.12,4.88,4.62,4.67,5.07,5.24,4.66,3.77,4.98
ALLSKY_SFC_SW_DWN,2019,4.48,5.83,6.46,6.93,6,5.88,5.07,4.55,4.9,5.24,4.16,4.09,5.29
ALLSKY_SFC_SW_DWN,2020,4.22,4.96,6.44,6.53,6.17,5.62,5.35,4.98,5.21,4.12,3.91,3.78,5.11
