-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  12.4351   Longitude 124.6381 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 61.39 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.69,25.54,26.1,27.66,28.5,28.37,27.99,27.79,27.63,27.14,26.61,26.44,27.12
T2M,2017,25.57,25.19,25.87,27.08,28.29,28.09,27.41,27.87,27.76,27.43,27.09,26.69,27.04
T2M,2018,26.01,26.05,26.19,27.11,27.94,27.83,27.47,27.5,27.43,27.3,26.86,26.43,27.01
T2M,2019,25.15,24.89,25.8,27.55,28.77,28.33,27.68,27.41,27.48,27.44,27.05,26.45,27.01
T2M,2020,25.95,25.33,26.26,27.41,28.48,27.81,27.89,27.85,28.19,27.38,26.9,26.68,27.19
QV2M,2016,17.33,17.33,17.21,18.25,19.04,19.47,19.1,20.02,19.65,19.78,19.1,19.23,18.8
QV2M,2017,18.25,16.91,17.64,18.19,20.02,19.35,19.35,19.59,19.35,19.41,19.78,19.53,18.98
QV2M,2018,18.8,18.13,17.7,18.55,19.59,19.41,19.78,19.35,19.53,18.68,18.68,18.92,18.92
QV2M,2019,16.48,15.5,16.05,17.4,19.29,20.2,19.41,19.78,19.65,18.98,19.35,18.74,18.43
QV2M,2020,17.82,16.72,17.33,18.25,19.78,19.29,19.04,19.35,19.53,19.84,19.59,19.65,18.86
CLRSKY_KT,2016,0.7,0.7,0.71,0.71,0.7,0.69,0.7,0.68,0.69,0.69,0.7,0.68,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.71,0.7,0.7,0.69,0.69,0.69,0.69,0.7,0.68,0.7
CLRSKY_KT,2018,0.69,0.7,0.7,0.71,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.73,0.73,0.7,0.69,0.69,0.67,0.66,0.7,0.68,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.71,0.71,0.7,0.7,0.69,0.69,0.7,0.68,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,4.94,4.97,6.35,6.82,6.42,5.44,5.14,5.11,5.29,4.39,4.2,3.9,5.25
ALLSKY_SFC_SW_DWN,2017,3.37,4.63,4.99,6.29,6.05,5.82,4.29,5.28,5.02,4.32,4.38,3.49,4.82
ALLSKY_SFC_SW_DWN,2018,3.5,4.44,5.46,6.1,6.11,5.11,5.05,5.12,5.14,5.39,4.65,3.71,4.98
ALLSKY_SFC_SW_DWN,2019,4.3,5.72,6.48,6.66,6.13,5.62,5.02,4.41,5.16,5.47,4.42,4.2,5.29
ALLSKY_SFC_SW_DWN,2020,4.6,4.88,6.32,6.45,6.14,5.53,5.36,5.04,5.2,4.3,4.01,3.51,5.11
