-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  12.0002   Longitude 120.2051 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 35.08 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.76,27.44,28.81,30.65,30.47,28.65,28.19,27.98,27.48,27.58,27.91,27.68,28.39
T2M,2017,27.08,26.99,28.07,29.58,29.61,28.71,27.8,28.05,28,28.02,28.23,27.65,28.15
T2M,2018,27.14,27.15,28.24,29.77,29.59,28.49,27.64,27.67,27.42,28.54,28.27,27.9,28.15
T2M,2019,27.13,27.4,28.74,29.97,30.01,29.27,27.96,27.97,28.02,28.43,27.88,27.54,28.37
T2M,2020,27.15,27.1,28.68,30.3,30.55,28.91,28.43,27.99,28.3,27.73,27.91,27.63,28.39
QV2M,2016,17.4,17.03,17.03,17.33,18.8,19.23,19.1,20.2,19.47,19.59,19.1,19.17,18.62
QV2M,2017,17.88,16.85,17.09,17.7,19.41,19.35,19.41,19.29,19.35,19.41,19.96,19.23,18.74
QV2M,2018,18.37,17.52,17.03,17.58,19.35,19.41,19.96,19.47,19.29,18.8,18.98,18.68,18.74
QV2M,2019,16.3,15.14,15.93,17.15,18.92,20.26,19.41,19.84,19.29,19.04,19.23,18.49,18.25
QV2M,2020,17.76,16.48,17.09,17.7,19.17,19.29,19.35,19.35,19.29,19.71,19.47,19.53,18.68
CLRSKY_KT,2016,0.7,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.69,0.69,0.69,0.68,0.69
CLRSKY_KT,2017,0.68,0.7,0.7,0.7,0.69,0.69,0.68,0.69,0.69,0.68,0.69,0.67,0.69
CLRSKY_KT,2018,0.68,0.7,0.7,0.7,0.7,0.68,0.66,0.67,0.69,0.69,0.7,0.68,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.72,0.69,0.69,0.68,0.67,0.66,0.69,0.67,0.69,0.69
CLRSKY_KT,2020,0.69,0.7,0.71,0.7,0.69,0.69,0.69,0.69,0.69,0.68,0.69,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,5.61,6.06,6.9,7.09,6.14,5.18,4.95,4.11,4.57,4.29,4.75,4.8,5.37
ALLSKY_SFC_SW_DWN,2017,4.72,5.96,6.38,6.77,5.98,5.52,4.22,4.89,4.92,4.5,4.99,4.41,5.26
ALLSKY_SFC_SW_DWN,2018,4.66,5.9,6.57,6.93,6.28,4.41,3.06,4.49,4.68,5.72,5.5,4.74,5.24
ALLSKY_SFC_SW_DWN,2019,5.51,6.44,6.88,7.19,6.02,5.21,4.54,4.04,4.59,5.8,4.63,4.85,5.47
ALLSKY_SFC_SW_DWN,2020,5.36,6.17,6.89,6.96,6.25,5.48,5.3,4.71,5.06,4.2,4.69,4.39,5.45
