-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  10.8359   Longitude 121.0279 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.46 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.58,26.93,27.8,29.56,29.87,28.82,28.57,28.62,28.05,28.05,28.33,28.08,28.36
T2M,2017,27.08,26.51,27.02,28.45,29.48,29.02,28.48,28.57,28.44,28.44,28.81,28.06,28.21
T2M,2018,27.25,27.08,27.63,28.76,29.65,28.79,28.47,28.14,28.06,28.83,28.52,27.84,28.26
T2M,2019,26.64,26.36,27.32,28.84,29.62,29.54,28.4,28.47,28.54,28.76,28.52,27.92,28.26
T2M,2020,27.4,26.74,27.65,29.3,29.82,28.94,28.75,28.53,28.74,28.38,28.5,28.26,28.42
QV2M,2016,18.25,18.25,18.31,18.92,19.9,19.84,19.23,20.32,19.71,19.84,19.47,19.53,19.29
QV2M,2017,18.74,17.7,18.31,18.8,20.02,19.71,19.47,19.65,19.59,19.59,20.08,19.71,19.29
QV2M,2018,19.29,18.49,18.37,19.35,19.65,19.78,20.08,19.78,19.53,19.23,19.47,19.41,19.35
QV2M,2019,17.4,16.6,17.4,18.43,19.71,20.51,19.71,20.14,19.78,19.53,19.59,19.1,18.98
QV2M,2020,18.55,17.64,18.43,19.23,20.2,19.53,19.47,19.41,19.65,19.9,19.78,20.08,19.35
CLRSKY_KT,2016,0.7,0.7,0.7,0.7,0.68,0.68,0.68,0.67,0.68,0.68,0.69,0.68,0.69
CLRSKY_KT,2017,0.68,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.68,0.68,0.69,0.68,0.69
CLRSKY_KT,2018,0.68,0.7,0.7,0.7,0.69,0.67,0.66,0.66,0.68,0.69,0.69,0.68,0.69
CLRSKY_KT,2019,0.69,0.71,0.71,0.71,0.68,0.68,0.68,0.66,0.65,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.69,0.7,0.71,0.7,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69
ALLSKY_SFC_SW_DWN,2016,5.94,6.04,7.07,6.96,6.29,5.14,4.78,4.65,5.02,4.62,5.11,4.95,5.54
ALLSKY_SFC_SW_DWN,2017,4.58,5.82,6.17,6.47,5.71,5.33,4.56,4.86,4.95,4.48,5.14,4.49,5.2
ALLSKY_SFC_SW_DWN,2018,4.83,5.73,6.56,6.86,6,4.85,3.88,4.82,4.57,5.95,5.39,4.9,5.36
ALLSKY_SFC_SW_DWN,2019,5.37,6.58,6.89,6.99,5.99,5.24,4.51,4.07,5.02,5.77,4.63,4.96,5.49
ALLSKY_SFC_SW_DWN,2020,5.5,5.83,6.76,6.95,6.07,4.89,4.9,4.83,5.02,4.19,4.93,4.72,5.38
