-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  11.2679   Longitude 124.011 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.84 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.08,26.75,27.58,29,29.57,29.47,28.86,28.79,28.55,28.31,28.06,27.82,28.32
T2M,2017,26.77,26.2,26.92,28.12,29.45,29.42,28.69,28.87,28.77,28.57,28.63,27.97,28.21
T2M,2018,27.26,27.08,27.51,28.29,29.26,28.97,28.7,28.48,28.4,28.63,28.11,27.45,28.19
T2M,2019,26.27,26.15,27.01,28.33,29.83,29.62,28.73,28.54,28.73,28.73,28.48,27.81,28.19
T2M,2020,27.21,26.51,27.55,28.7,29.65,29.09,28.83,28.83,29.08,28.62,28.3,28.15,28.38
QV2M,2016,17.94,18.07,17.88,18.92,19.65,19.47,19.1,20.39,19.71,19.96,19.41,19.65,19.17
QV2M,2017,18.86,17.64,18.43,18.86,20.14,19.41,19.65,19.59,19.47,19.59,20.14,19.84,19.35
QV2M,2018,19.41,18.68,18.31,19.17,19.71,19.59,20.2,19.71,19.84,19.04,19.35,19.53,19.35
QV2M,2019,17.46,16.48,16.97,18.55,19.53,20.39,19.59,20.2,19.78,19.35,19.65,19.23,18.92
QV2M,2020,18.49,17.52,18.13,18.98,20.26,19.47,19.23,19.53,19.65,20.02,19.9,20.02,19.29
CLRSKY_KT,2016,0.7,0.7,0.72,0.71,0.7,0.7,0.7,0.68,0.69,0.69,0.7,0.68,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.71,0.7,0.7,0.69,0.69,0.69,0.69,0.7,0.69,0.7
CLRSKY_KT,2018,0.69,0.7,0.71,0.71,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.7,0.72,0.73,0.72,0.7,0.69,0.69,0.67,0.66,0.7,0.69,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.72,0.71,0.7,0.7,0.7,0.69,0.7,0.68,0.69,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,5.19,5.13,6.64,6.8,6.29,5.38,5.27,5.04,5.23,4.44,4.24,4.09,5.31
ALLSKY_SFC_SW_DWN,2017,3.62,4.52,4.9,6.11,5.85,5.61,4.46,5.21,4.98,4.37,4.45,3.94,4.83
ALLSKY_SFC_SW_DWN,2018,3.55,4.62,5.68,6.24,6.03,5.06,5.05,5.07,5.09,5.61,4.53,3.81,5.03
ALLSKY_SFC_SW_DWN,2019,4.49,5.67,6.4,6.59,6.23,5.5,5.07,4.66,5.19,5.57,4.5,4.42,5.35
ALLSKY_SFC_SW_DWN,2020,4.79,5.09,6.47,6.27,6.12,5.26,5.24,5.14,5.23,4.28,4.12,3.81,5.15
