-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  16.0462   Longitude 120.3438 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 237.0 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,24.64,24.98,27.26,29.77,28.79,27.43,26.95,26.05,26.24,25.98,25.68,25.3,26.59
T2M,2017,23.97,23.89,26.15,28.26,28.11,27.19,26.23,26.4,26.5,26.33,26.01,24.87,26.17
T2M,2018,24.57,25.33,26.44,28.2,28.6,26.6,25.87,25.61,26.01,26.08,25.51,25.4,26.19
T2M,2019,24.07,24.83,27.51,28.83,28.32,27.81,26.31,25.97,25.78,26.51,25.63,24.94,26.38
T2M,2020,24.25,24.15,26.85,27.83,28.48,27.71,27.01,26.26,26.83,26.28,25.79,25.52,26.42
QV2M,2016,15.56,14.77,15.44,15.62,18.07,18.8,19.1,19.65,19.17,18.8,17.27,17.15,17.46
QV2M,2017,15.26,14.83,15.56,15.99,18.13,19.1,19.04,19.35,19.23,18.55,18.13,16.54,17.52
QV2M,2018,15.81,15.32,14.65,16.42,18.19,19.23,19.23,19.35,18.92,17.7,16.6,16.05,17.27
QV2M,2019,13.98,13.24,14.1,16.24,18.43,19.41,19.1,19.71,19.1,18.01,17.76,16.36,17.15
QV2M,2020,14.83,13.55,15.81,16.78,18.98,18.98,18.92,19.1,19.41,19.17,17.94,17.76,17.64
CLRSKY_KT,2016,0.7,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2017,0.7,0.7,0.71,0.7,0.7,0.7,0.69,0.7,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2018,0.69,0.71,0.71,0.71,0.71,0.69,0.7,0.69,0.7,0.7,0.71,0.7,0.7
CLRSKY_KT,2019,0.71,0.73,0.71,0.7,0.69,0.7,0.7,0.7,0.69,0.7,0.69,0.7,0.7
CLRSKY_KT,2020,0.7,0.72,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,5.07,5.23,5.91,6.53,6.03,5.68,5.4,4.04,4.93,4.55,4.58,4.35,5.19
ALLSKY_SFC_SW_DWN,2017,4.62,5.12,6.17,6.49,5.69,6.04,4.73,5.05,4.98,4.71,4.41,4.15,5.18
ALLSKY_SFC_SW_DWN,2018,4.42,5.5,6.32,6.4,6.3,4.52,4.7,3.69,5.22,5.52,5.26,4.41,5.19
ALLSKY_SFC_SW_DWN,2019,5.07,6.06,6.31,6.2,5.66,5.58,4.95,4.09,4.21,5.59,4.16,4.58,5.2
ALLSKY_SFC_SW_DWN,2020,5.02,5.74,6.41,6.17,5.84,6.11,5.76,5.15,5.56,4.22,4.3,4.02,5.36
