-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  9.7608   Longitude 123.5326 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 95.38 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.69,26.9,28.08,29.72,29.58,28.51,27.87,27.68,27.34,27.26,26.86,27.01,27.79
T2M,2017,26,25.5,26.47,27.58,28.39,28.35,27.45,27.69,27.65,27.55,27.38,27.03,27.26
T2M,2018,26.39,26.4,26.86,27.96,28.8,28.11,27.55,27.46,27.33,27.77,27.11,26.74,27.38
T2M,2019,25.62,25.37,26.3,27.52,29.19,28.51,27.48,27.37,27.58,27.65,27.29,26.88,27.24
T2M,2020,26.67,26.2,27.37,29.01,29.69,28.28,27.73,27.69,28.16,27.49,27.22,27.04,27.72
QV2M,2016,17.33,17.33,16.72,17.33,18.74,18.8,18.49,19.23,18.86,19.29,19.04,19.17,18.37
QV2M,2017,18.74,17.58,18.19,18.68,19.71,18.74,18.62,18.92,18.98,19.17,19.71,19.29,18.86
QV2M,2018,19.17,18.55,18.07,18.74,18.86,18.68,18.98,18.62,18.92,18.8,19.04,19.1,18.8
QV2M,2019,17.52,16.3,16.72,18.13,19.1,19.59,18.86,19.17,18.98,19.17,18.98,18.86,18.43
QV2M,2020,18.31,17.27,17.4,17.58,19.1,18.55,18.74,18.92,18.98,19.41,19.47,19.53,18.62
CLRSKY_KT,2016,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.68,0.69,0.69,0.69,0.68,0.7
CLRSKY_KT,2017,0.68,0.7,0.7,0.7,0.7,0.69,0.68,0.69,0.69,0.68,0.7,0.68,0.69
CLRSKY_KT,2018,0.69,0.7,0.7,0.7,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.71,0.69,0.69,0.68,0.68,0.66,0.69,0.68,0.69,0.69
CLRSKY_KT,2020,0.7,0.7,0.71,0.71,0.69,0.69,0.69,0.69,0.69,0.67,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.35,5.52,6.75,6.58,6.05,5.29,5.19,5.21,5.07,4.56,4.49,4.45,5.37
ALLSKY_SFC_SW_DWN,2017,3.61,4.61,5.12,5.92,5.75,5.37,4.81,5.35,5.09,4.18,4.57,4.26,4.88
ALLSKY_SFC_SW_DWN,2018,4.21,5.14,5.92,6.35,5.97,5.19,4.9,5.2,4.76,5.56,4.54,4.2,5.16
ALLSKY_SFC_SW_DWN,2019,4.15,5.74,6.24,6.5,6.03,5.48,4.92,5.05,5.27,5.34,4.66,4.33,5.3
ALLSKY_SFC_SW_DWN,2020,5.14,4.98,6.31,6.48,5.75,5.11,5.2,5.29,5.41,4.71,4.77,4.32,5.29
