-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  9.6254   Longitude 123.8653 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 56.33 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.95,26.98,27.64,28.82,28.95,28.65,28.28,28.24,27.76,27.84,27.64,27.56,27.94
T2M,2017,26.64,26.08,26.76,27.8,28.66,28.51,28.05,28.17,28.18,28.19,28.03,27.69,27.74
T2M,2018,27.05,27.04,27.46,28.21,28.74,28.38,28.12,28.01,27.98,28.36,27.76,27.3,27.87
T2M,2019,26.31,25.98,26.77,27.79,29.23,28.92,27.98,28.09,28.21,28.26,28.04,27.62,27.78
T2M,2020,27.2,26.74,27.43,28.55,29.3,28.42,28.07,28.15,28.56,28.08,27.99,27.73,28.02
QV2M,2016,17.76,17.7,17.46,18.19,19.23,18.86,18.55,19.29,18.86,19.23,19.17,19.23,18.62
QV2M,2017,18.86,17.82,18.37,18.8,19.9,18.86,18.62,18.92,18.86,19.1,19.84,19.29,18.92
QV2M,2018,19.29,18.68,18.31,19.04,19.17,18.86,19.17,18.86,18.98,18.86,19.29,19.29,18.98
QV2M,2019,17.76,16.54,17.09,18.43,19.29,19.59,18.8,19.23,18.98,19.17,19.04,18.98,18.62
QV2M,2020,18.49,17.58,17.88,18.31,19.59,18.86,18.86,18.92,19.1,19.35,19.59,19.59,18.86
CLRSKY_KT,2016,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.68,0.69,0.69,0.69,0.68,0.7
CLRSKY_KT,2017,0.68,0.7,0.7,0.7,0.7,0.69,0.68,0.69,0.69,0.68,0.7,0.68,0.69
CLRSKY_KT,2018,0.69,0.7,0.7,0.7,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.71,0.69,0.69,0.68,0.68,0.66,0.69,0.68,0.69,0.69
CLRSKY_KT,2020,0.7,0.7,0.71,0.71,0.69,0.69,0.69,0.69,0.69,0.67,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.35,5.52,6.75,6.58,6.05,5.29,5.19,5.21,5.07,4.56,4.49,4.45,5.37
ALLSKY_SFC_SW_DWN,2017,3.61,4.61,5.12,5.92,5.75,5.37,4.81,5.35,5.09,4.18,4.57,4.26,4.88
ALLSKY_SFC_SW_DWN,2018,4.21,5.14,5.92,6.35,5.97,5.19,4.9,5.2,4.76,5.56,4.54,4.2,5.16
ALLSKY_SFC_SW_DWN,2019,4.15,5.74,6.24,6.5,6.03,5.48,4.92,5.05,5.27,5.34,4.66,4.33,5.3
ALLSKY_SFC_SW_DWN,2020,5.14,4.98,6.31,6.48,5.75,5.11,5.2,5.29,5.41,4.71,4.77,4.32,5.29
