-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  16.7093   Longitude 121.6693 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 296.42 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,23.15,22.66,24.9,27.18,27.43,27.16,26.64,26.67,26.45,25.3,24.3,23.78,25.48
T2M,2017,22.17,21.75,23.53,25.65,27.07,26.83,26.06,26.66,26.58,25.09,24.8,23.03,24.95
T2M,2018,22.75,23.08,23.65,26.07,27.8,26.92,26.37,26.02,26.02,25.12,24.31,23.76,25.16
T2M,2019,21.94,22.47,24.9,26.4,26.94,27.34,26.62,26.58,25.85,25.03,24.42,23.46,25.18
T2M,2020,22.56,21.9,24.81,26.12,27.67,26.56,26.27,26.41,26.65,25.48,24.45,24.12,25.26
QV2M,2016,15.5,14.77,15.75,16.6,18.07,18.86,18.55,19.29,18.62,18.62,17.27,17.27,17.46
QV2M,2017,15.2,14.53,15.44,16.66,18.62,19.1,18.68,19.17,19.1,18.31,18.25,16.36,17.46
QV2M,2018,15.69,15.56,14.77,16.17,17.33,18.74,18.86,19.04,18.49,17.03,16.42,16.3,17.03
QV2M,2019,14.4,13.67,14.59,16.54,19.04,19.41,18.92,19.41,18.49,17.46,17.58,16.48,17.21
QV2M,2020,15.01,13.79,15.87,16.66,18.86,18.92,18.74,18.62,19.04,18.98,17.82,17.76,17.52
CLRSKY_KT,2016,0.7,0.71,0.7,0.72,0.7,0.7,0.71,0.7,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2017,0.7,0.7,0.71,0.7,0.7,0.71,0.7,0.7,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2018,0.7,0.71,0.71,0.72,0.73,0.7,0.7,0.69,0.7,0.7,0.71,0.7,0.7
CLRSKY_KT,2019,0.71,0.73,0.73,0.72,0.7,0.7,0.7,0.7,0.7,0.71,0.69,0.7,0.7
CLRSKY_KT,2020,0.7,0.72,0.72,0.7,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,4.27,4.04,5.15,6.53,6.21,6.11,5.74,4.82,5.15,4.21,3.69,3.16,4.92
ALLSKY_SFC_SW_DWN,2017,3.5,3.82,5.36,5.68,6.07,6.43,5.01,5.45,5.15,3.82,3.28,2.77,4.7
ALLSKY_SFC_SW_DWN,2018,3.22,4.41,5.28,6.02,6.82,5.1,5.12,4.54,5.29,4.94,4.6,3.26,4.88
ALLSKY_SFC_SW_DWN,2019,4,5.69,6.11,6.36,5.86,6.43,5.51,4.89,4.42,4.8,3.16,3.45,5.05
ALLSKY_SFC_SW_DWN,2020,3.88,4.43,6.19,5.88,6.19,6.56,5.98,5.23,5.52,3.36,3.21,2.81,4.94
