-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  9.8071   Longitude 126.1653 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3.7 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.33,27.08,26.9,28.11,28.58,28.55,28.34,28.78,28.17,28.03,28.06,27.91,27.99
T2M,2017,27.51,26.98,27.31,28.02,28.73,28.59,28.31,28.55,28.48,28.4,28.44,27.93,28.11
T2M,2018,27.96,27.68,27.93,28.1,28.67,28.6,28.48,28.37,28.15,28.1,28.13,28.01,28.19
T2M,2019,27.08,26.5,26.89,27.51,28.84,28.8,28.37,28.68,28.56,28.19,28.47,28.12,28.01
T2M,2020,27.66,27.2,27.33,28.07,28.77,28.23,28.27,28.37,28.68,28.37,28.31,28.11,28.12
QV2M,2016,18.01,18.13,17.94,19.1,20.14,19.65,19.17,19.71,19.29,19.65,19.41,19.59,19.17
QV2M,2017,19.29,18.31,18.74,19.1,20.51,19.53,19.23,19.41,19.23,19.71,20.08,19.65,19.41
QV2M,2018,19.59,19.17,18.74,19.23,19.59,19.47,19.65,19.23,19.47,19.17,19.53,19.78,19.35
QV2M,2019,18.07,16.48,17.15,18.62,19.78,20.26,19.29,19.59,19.29,19.35,19.41,19.41,18.92
QV2M,2020,18.68,17.88,18.19,18.98,20.45,19.59,19.35,19.17,19.23,19.71,20.02,19.9,19.29
CLRSKY_KT,2016,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.68,0.68,0.68,0.69,0.68,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.7,0.7,0.68,0.69,0.69,0.68,0.69,0.68,0.69
CLRSKY_KT,2018,0.69,0.7,0.7,0.7,0.7,0.68,0.67,0.67,0.69,0.69,0.69,0.69,0.69
CLRSKY_KT,2019,0.69,0.71,0.71,0.71,0.69,0.69,0.68,0.67,0.66,0.69,0.68,0.69,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.7,0.69,0.69,0.69,0.69,0.7,0.67,0.69,0.68,0.69
ALLSKY_SFC_SW_DWN,2016,5.2,5.48,6.34,6.36,5.71,5.34,5.36,5.23,5.22,4.56,3.99,4.42,5.27
ALLSKY_SFC_SW_DWN,2017,3.84,4.21,5.19,5.98,5.5,5.49,4.71,5.27,5.02,4.45,4.63,4.1,4.87
ALLSKY_SFC_SW_DWN,2018,3.75,4.45,5.48,5.84,5.71,5.18,5.15,5.07,5.38,5.54,4.24,4.27,5.01
ALLSKY_SFC_SW_DWN,2019,4.25,5.41,5.97,6.11,6.29,4.94,4.73,5.03,5.45,5.53,5,4.11,5.23
ALLSKY_SFC_SW_DWN,2020,4.73,5.23,6,6.37,5.71,5.28,5.03,4.81,5.41,4.15,4.55,4.18,5.12
