-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  6.1191   Longitude 125.1742 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 374.01 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.9,26.46,27.09,27.87,26.81,25.67,25.21,25.09,25.12,25.11,25.19,25.05,25.87
T2M,2017,24.62,24.5,24.73,25.57,25.65,25.11,24.65,24.8,24.87,25.24,25.26,25.23,25.02
T2M,2018,24.72,25.06,25.62,25.84,25.95,24.95,24.71,24.57,24.62,25.33,25.56,25.51,25.2
T2M,2019,24.76,24.76,25.81,26.59,26.4,25.47,24.37,24.65,24.94,25.35,25.39,25.35,25.32
T2M,2020,25.53,25.65,26.48,27.26,26.93,25.55,25,25.09,25.4,25.23,25.41,25.2,25.73
QV2M,2016,15.93,15.87,15.69,16.54,17.94,17.76,17.52,17.46,17.4,17.82,17.82,17.64,17.09
QV2M,2017,17.46,17.09,17.27,17.7,18.31,17.7,17.46,17.7,17.58,17.94,17.82,17.82,17.64
QV2M,2018,17.46,17.4,16.66,17.7,18.07,17.7,17.58,17.58,17.33,17.7,17.52,17.64,17.52
QV2M,2019,16.85,15.38,16.17,17.15,17.94,18.25,17.4,17.58,17.27,17.7,17.52,17.46,17.21
QV2M,2020,17.33,16.36,16.42,16.48,17.82,17.76,17.33,17.52,17.58,17.7,17.82,17.64,17.33
CLRSKY_KT,2016,0.7,0.71,0.72,0.71,0.7,0.7,0.7,0.69,0.7,0.69,0.7,0.69,0.7
CLRSKY_KT,2017,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.69,0.7,0.69,0.7
CLRSKY_KT,2018,0.7,0.7,0.71,0.7,0.7,0.7,0.69,0.68,0.7,0.7,0.7,0.7,0.7
CLRSKY_KT,2019,0.7,0.72,0.71,0.71,0.7,0.69,0.7,0.69,0.69,0.7,0.69,0.7,0.7
CLRSKY_KT,2020,0.7,0.7,0.71,0.72,0.7,0.7,0.7,0.7,0.71,0.69,0.7,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,5.48,5.53,6.52,6.43,5.51,5.11,5.45,5.37,5.49,5.16,4.8,4.29,5.43
ALLSKY_SFC_SW_DWN,2017,4.14,4.89,5.05,5.94,5.26,4.93,4.94,5.05,5.45,5.04,4.6,4.88,5.01
ALLSKY_SFC_SW_DWN,2018,4.31,5.26,5.96,5.82,5.54,5.25,5.22,5.32,5.8,5.75,5.3,4.83,5.36
ALLSKY_SFC_SW_DWN,2019,4.27,5.91,5.74,5.94,5.73,5.06,4.64,5.53,5.89,5.72,5.28,4.63,5.36
ALLSKY_SFC_SW_DWN,2020,4.91,5.25,5.98,6.25,5.3,5.02,5.4,5.32,5.73,4.89,5.06,4.45,5.29
