-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  11.0449   Longitude 125.7324 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 13.85 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.07,26.84,27.07,28.27,28.76,28.74,28.44,28.85,28.31,28.08,27.91,27.76,28.01
T2M,2017,27.11,26.57,27.01,27.91,28.82,28.6,28.3,28.55,28.51,28.37,28.35,27.9,28.01
T2M,2018,27.73,27.33,27.77,28.01,28.69,28.55,28.62,28.48,28.24,28.07,27.99,27.83,28.12
T2M,2019,26.69,26.25,26.88,27.69,29.06,29.01,28.47,28.7,28.62,28.3,28.4,27.92,28.01
T2M,2020,27.49,26.93,27.26,28.15,28.79,28.25,28.2,28.54,28.69,28.31,28.15,27.98,28.07
QV2M,2016,17.94,17.88,17.7,18.92,19.96,19.53,19.17,19.96,19.41,19.78,19.41,19.59,19.1
QV2M,2017,19.1,17.88,18.62,19.04,20.51,19.65,19.47,19.47,19.47,19.59,20.02,19.71,19.41
QV2M,2018,19.41,18.92,18.49,19.23,19.84,19.59,19.84,19.59,19.59,19.1,19.41,19.59,19.41
QV2M,2019,17.52,16.3,16.72,18.43,19.84,20.26,19.29,19.78,19.47,19.35,19.59,19.17,18.8
QV2M,2020,18.49,17.52,18.01,18.92,20.45,19.65,19.41,19.35,19.47,19.78,19.96,19.96,19.23
CLRSKY_KT,2016,0.7,0.7,0.72,0.71,0.7,0.7,0.7,0.68,0.69,0.7,0.7,0.69,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2018,0.69,0.7,0.71,0.71,0.71,0.69,0.67,0.67,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.7,0.72,0.73,0.73,0.7,0.7,0.7,0.67,0.66,0.7,0.69,0.7,0.7
CLRSKY_KT,2020,0.7,0.7,0.72,0.72,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,4.92,5.08,6.35,6.52,6.12,5.44,5.23,5.05,5.09,4.35,4.06,4.06,5.19
ALLSKY_SFC_SW_DWN,2017,3.55,4.26,4.69,5.89,5.75,5.74,4.36,5.25,5.02,4.23,4.6,3.96,4.77
ALLSKY_SFC_SW_DWN,2018,3.51,4.07,5.5,5.9,5.69,4.92,5.12,5.01,5.19,5.42,4.35,3.71,4.87
ALLSKY_SFC_SW_DWN,2019,4.19,5.38,6.17,6.52,6.15,5.3,5.14,4.71,5.13,5.51,4.53,4.26,5.25
ALLSKY_SFC_SW_DWN,2020,4.54,5.02,6.25,6.33,6.01,5.11,5.3,5.02,5.36,4.27,3.93,3.83,5.08
