-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  8.3803   Longitude 126.3118 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 65.78 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.27,26.19,26.16,27.33,27.76,27.65,27.65,28.08,27.46,27.28,26.83,26.94,27.14
T2M,2017,26.43,25.9,26.35,27.14,27.76,27.68,27.4,27.86,27.69,27.56,27.21,26.87,27.16
T2M,2018,26.5,26.62,26.84,27.24,27.84,27.54,27.65,27.47,27.62,27.46,26.91,26.87,27.22
T2M,2019,26,25.27,25.97,26.81,28.33,28.08,27.33,27.69,27.65,27.62,27.51,26.91,27.11
T2M,2020,26.68,26.21,26.51,27.18,28.04,27.36,27.32,27.53,27.87,27.51,27.28,26.89,27.2
QV2M,2016,17.58,17.82,17.52,18.43,19.47,18.86,18.43,18.68,18.55,18.8,18.86,19.04,18.49
QV2M,2017,18.86,18.13,18.37,18.74,19.71,18.62,18.37,18.62,18.62,18.86,19.41,18.92,18.8
QV2M,2018,18.92,18.62,18.07,18.86,18.98,18.8,18.8,18.43,18.62,18.55,18.98,19.23,18.74
QV2M,2019,18.01,16.24,17.03,18.43,19.04,19.41,18.37,18.62,18.37,18.62,18.74,18.8,18.31
QV2M,2020,18.43,17.64,17.82,18.55,19.84,18.86,18.62,18.68,18.68,19.04,19.35,19.17,18.74
CLRSKY_KT,2016,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.68,0.68,0.68,0.69,0.68,0.69
CLRSKY_KT,2017,0.68,0.7,0.7,0.7,0.7,0.7,0.68,0.69,0.69,0.68,0.7,0.68,0.69
CLRSKY_KT,2018,0.69,0.7,0.7,0.7,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.69
CLRSKY_KT,2019,0.69,0.71,0.71,0.7,0.69,0.69,0.68,0.68,0.66,0.7,0.68,0.69,0.69
CLRSKY_KT,2020,0.7,0.7,0.71,0.71,0.69,0.69,0.7,0.69,0.7,0.67,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.18,5.2,6.27,6.08,5.43,5.25,5.4,5.18,5.43,4.9,3.86,4.2,5.2
ALLSKY_SFC_SW_DWN,2017,3.78,3.69,4.97,5.81,5.2,5.38,4.89,5.23,5.15,4.66,4.4,4.28,4.79
ALLSKY_SFC_SW_DWN,2018,3.85,4.67,5.45,5.57,5.73,5.33,5.32,5.14,5.73,5.67,4.34,4.36,5.1
ALLSKY_SFC_SW_DWN,2019,3.99,5.48,5.59,5.69,6.13,4.89,4.83,5.45,5.68,5.56,5.06,4.06,5.2
ALLSKY_SFC_SW_DWN,2020,4.71,5.2,5.63,6.08,5.32,5.03,5.05,5.03,5.48,4.22,4.64,4.09,5.03
