-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  14.739   Longitude 121.6433 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 26.39 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.17,25.67,26.58,28.43,29.33,29.27,28.72,28.37,28.34,27.83,27.33,26.74,27.74
T2M,2017,25.73,25.12,26.08,27.7,29.23,29.23,28.28,28.58,28.55,28.03,27.59,26.55,27.57
T2M,2018,25.76,25.9,26.26,27.37,28.76,28.54,28.05,27.97,28.03,27.83,27.44,26.82,27.4
T2M,2019,25.72,25.58,26.75,28.37,29.7,29.56,28.71,28.25,27.96,27.98,27.54,26.83,27.76
T2M,2020,26.2,25.37,26.65,27.69,29.13,28.89,28.61,28.42,28.61,28.1,27.45,26.9,27.68
QV2M,2016,17.52,16.97,17.76,18.8,19.78,19.96,19.53,20.45,19.96,19.9,19.29,19.23,19.1
QV2M,2017,17.33,16.54,17.21,18.43,20.02,20.08,19.84,20.08,20.02,19.9,20.02,18.92,19.04
QV2M,2018,17.94,17.64,17.09,18.49,19.84,20.2,20.2,19.9,19.71,18.98,18.62,18.74,18.98
QV2M,2019,16.42,15.56,16.48,18.25,19.71,20.81,19.78,20.45,19.78,19.29,19.41,18.68,18.74
QV2M,2020,17.27,16.3,17.94,18.98,20.63,20.02,19.84,19.78,19.96,20.51,19.71,19.47,19.23
CLRSKY_KT,2016,0.69,0.7,0.7,0.71,0.7,0.69,0.69,0.68,0.69,0.69,0.69,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.7,0.7,0.68,0.69,0.69,0.68,0.69,0.67,0.69
CLRSKY_KT,2018,0.67,0.7,0.7,0.71,0.7,0.68,0.67,0.67,0.69,0.69,0.7,0.68,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.72,0.69,0.69,0.68,0.67,0.67,0.69,0.67,0.68,0.7
CLRSKY_KT,2020,0.69,0.7,0.71,0.7,0.7,0.7,0.7,0.68,0.69,0.67,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,4.24,4.4,5.43,6.46,5.74,5.21,5.09,4.18,4.73,4.17,3.67,3.2,4.71
ALLSKY_SFC_SW_DWN,2017,3.3,4.18,5.31,5.83,5.8,5.73,4.22,5.09,4.58,3.67,3.63,2.92,4.52
ALLSKY_SFC_SW_DWN,2018,3.4,4.56,5.23,6.02,5.86,4.54,4.24,4.18,4.78,5.05,4.32,3.12,4.61
ALLSKY_SFC_SW_DWN,2019,3.98,5.28,6.06,6.49,5.74,5.65,4.93,4.06,4.31,4.76,3.77,3.72,4.89
ALLSKY_SFC_SW_DWN,2020,3.97,4.4,5.95,5.87,5.86,5.6,5.26,4.59,5.12,3.6,3.56,3.31,4.76
