-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  10.7144   Longitude 122.5674 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.55 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.33,27.37,28.88,30.4,29.98,28.3,27.94,27.76,27.35,27.37,27.24,27.3,28.1
T2M,2017,26.28,25.88,27.05,28.5,29.07,28.48,27.69,27.8,27.8,27.73,27.8,27.38,27.63
T2M,2018,26.65,26.68,27.33,28.65,29.22,28.12,27.62,27.41,27.36,27.98,27.54,27.02,27.64
T2M,2019,25.92,26.06,27.27,28.67,29.35,28.75,27.61,27.54,27.77,27.98,27.56,27.12,27.64
T2M,2020,26.85,26.52,28.15,29.98,30.09,28.51,27.99,27.79,28.17,27.65,27.51,27.45,28.06
QV2M,2016,17.52,17.46,17.09,17.76,19.35,19.65,19.04,19.96,19.41,19.65,19.23,19.41,18.8
QV2M,2017,18.74,17.52,17.88,18.55,19.84,19.41,19.23,19.47,19.47,19.53,19.96,19.47,19.1
QV2M,2018,19.29,18.43,18.13,18.92,19.35,19.47,19.78,19.41,19.47,19.04,19.35,19.23,19.17
QV2M,2019,17.33,16.3,16.72,18.19,19.53,20.14,19.41,19.84,19.59,19.47,19.47,19.1,18.8
QV2M,2020,18.43,17.21,17.58,17.94,19.71,19.29,19.23,19.41,19.65,19.78,19.71,19.84,18.98
CLRSKY_KT,2016,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.68,0.68,0.69,0.69,0.68,0.69
CLRSKY_KT,2017,0.69,0.7,0.7,0.7,0.69,0.69,0.68,0.69,0.69,0.68,0.69,0.68,0.69
CLRSKY_KT,2018,0.69,0.7,0.7,0.7,0.7,0.68,0.67,0.67,0.69,0.69,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.71,0.69,0.69,0.68,0.67,0.66,0.69,0.68,0.69,0.69
CLRSKY_KT,2020,0.7,0.7,0.71,0.71,0.69,0.69,0.69,0.69,0.69,0.68,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.61,5.71,6.89,6.67,6.08,5.16,4.94,4.62,5.23,4.69,4.83,4.74,5.43
ALLSKY_SFC_SW_DWN,2017,4.11,5.33,5.62,6.11,5.7,5.55,4.61,5.01,4.95,4.33,4.93,4.3,5.04
ALLSKY_SFC_SW_DWN,2018,4.53,5.4,6.29,6.5,5.85,5.01,4.24,4.76,4.83,5.73,5.11,4.58,5.23
ALLSKY_SFC_SW_DWN,2019,4.87,6.21,6.57,6.74,6.03,5.37,4.81,4.23,5.04,5.67,4.53,4.75,5.4
ALLSKY_SFC_SW_DWN,2020,5.3,5.48,6.51,6.64,5.92,5.01,5.09,5.22,5.19,4.5,4.86,4.47,5.35
