-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  5.9951   Longitude 124.6231 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 200.94 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.25,27.44,27.65,28.5,28.1,26.81,26.58,26.29,26.25,26.35,26.84,26.83,27.07
T2M,2017,26.47,26.57,26.8,27.02,27.39,26.47,26.05,26.15,26.3,26.68,27.26,26.98,26.68
T2M,2018,26.8,26.92,27.15,26.97,27.32,26.47,26.14,25.94,26,26.77,27.37,27.15,26.75
T2M,2019,26.62,26.54,26.85,27.59,27.31,26.8,25.67,26.02,26.39,26.78,26.85,27.19,26.72
T2M,2020,27.13,27.3,27.41,28.08,27.83,26.93,26.52,26.57,26.94,26.47,27.19,26.86,27.1
QV2M,2016,16.85,17.09,17.27,17.94,18.8,18.55,18.25,18.19,18.01,18.43,18.31,18.01,18.01
QV2M,2017,17.82,17.4,17.52,18.25,18.92,18.31,18.01,18.37,18.19,18.74,18.19,18.37,18.19
QV2M,2018,17.76,17.7,17.33,18.55,18.8,18.43,18.07,18.13,18.01,18.37,18.07,18.25,18.13
QV2M,2019,17.33,15.87,17.15,18.19,18.74,18.92,17.88,18.19,17.94,18.37,18.07,17.82,17.88
QV2M,2020,17.88,17.09,17.52,17.64,18.92,18.43,18.13,18.13,18.37,18.31,18.31,18.31,18.13
CLRSKY_KT,2016,0.7,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.7
CLRSKY_KT,2017,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.68,0.7,0.69,0.7
CLRSKY_KT,2018,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.69,0.71,0.7,0.7,0.7,0.7,0.69,0.7,0.69,0.7,0.69,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.68,0.69,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,5.75,5.81,6.57,6.68,5.94,5.2,5.35,5.45,5.09,5.24,5.08,4.44,5.55
ALLSKY_SFC_SW_DWN,2017,4.65,5.5,5.54,6.28,5.28,4.79,4.67,4.86,5.15,5.32,4.9,5.03,5.16
ALLSKY_SFC_SW_DWN,2018,4.66,5.68,5.97,5.72,5.96,5.3,5.27,5.36,5.55,5.87,5.59,5.11,5.5
ALLSKY_SFC_SW_DWN,2019,4.71,6.09,5.94,6.47,6.26,5.17,4.48,5.77,6.15,5.9,5.59,5.08,5.63
ALLSKY_SFC_SW_DWN,2020,5.32,5.88,6.26,6.35,5.62,5.01,5.57,5.45,5.82,4.73,5.23,4.87,5.51
