-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  18.1239   Longitude 121.6752 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 149.04 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,23.63,23.13,25.34,28.99,29.48,28.44,28.08,27.47,27.26,26.46,25.2,24.33,26.49
T2M,2017,22.87,22.26,24.32,27.08,28.27,28.19,27.43,27.68,27.6,26.01,25.64,23.39,25.91
T2M,2018,23.22,23.35,24.1,27.03,29.47,28.29,27.83,27.05,26.95,25.87,25.19,24.82,26.11
T2M,2019,23.25,24.19,26.16,28.51,27.8,28.56,28.01,27.52,26.57,25.94,24.87,24.09,26.3
T2M,2020,23.05,22.69,26.3,27.62,29.48,28.15,27.44,27.34,27.58,26.54,25.23,24.5,26.33
QV2M,2016,15.38,14.53,15.5,16.48,17.94,19.47,18.92,19.59,19.23,18.98,17.7,17.21,17.58
QV2M,2017,15.01,14.34,15.14,16.48,18.43,19.59,19.1,19.59,19.78,18.68,18.74,15.93,17.58
QV2M,2018,15.5,15.44,14.47,16.24,17.58,19.1,18.98,19.41,18.8,17.33,16.66,16.3,17.15
QV2M,2019,14.22,13.49,14.59,16.6,19.1,19.9,19.53,19.96,18.86,17.88,17.82,16.6,17.4
QV2M,2020,14.89,13.79,15.56,16.36,18.37,19.59,19.41,19.1,19.41,19.35,18.01,17.82,17.64
CLRSKY_KT,2016,0.68,0.69,0.67,0.69,0.69,0.7,0.7,0.68,0.69,0.69,0.69,0.67,0.69
CLRSKY_KT,2017,0.69,0.69,0.69,0.69,0.69,0.7,0.7,0.69,0.7,0.69,0.68,0.66,0.69
CLRSKY_KT,2018,0.67,0.7,0.7,0.7,0.7,0.69,0.7,0.68,0.7,0.69,0.7,0.67,0.69
CLRSKY_KT,2019,0.7,0.71,0.7,0.7,0.68,0.7,0.7,0.69,0.69,0.7,0.67,0.68,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.68,0.7,0.7,0.7,0.69,0.7,0.69,0.68,0.66,0.69
ALLSKY_SFC_SW_DWN,2016,3.82,3.82,4.58,6.54,6.36,6.48,6.04,4.88,4.76,4.47,3.7,2.78,4.85
ALLSKY_SFC_SW_DWN,2017,3.36,3.32,5.18,5.86,5.62,6.55,5.67,5.31,5.63,3.62,3.39,2.35,4.66
ALLSKY_SFC_SW_DWN,2018,3.1,3.74,5.37,6.06,6.9,5.41,5.66,4.58,5.32,4.85,4.45,3.43,4.91
ALLSKY_SFC_SW_DWN,2019,3.92,5.78,5.93,6.16,5.68,6.21,5.71,4.82,4.39,4.93,2.47,3.04,4.91
ALLSKY_SFC_SW_DWN,2020,3.48,4.46,6.12,5.57,6.15,6.86,6.21,5.38,5.82,3.77,3.16,2.45,4.95
