-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  5.8625   Longitude 124.9951 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 374.01 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.9,26.46,27.09,27.87,26.81,25.67,25.21,25.09,25.12,25.11,25.19,25.05,25.87
T2M,2017,24.62,24.5,24.73,25.57,25.65,25.11,24.65,24.8,24.87,25.24,25.26,25.23,25.02
T2M,2018,24.72,25.06,25.62,25.84,25.95,24.95,24.71,24.57,24.62,25.33,25.56,25.51,25.2
T2M,2019,24.76,24.76,25.81,26.59,26.4,25.47,24.37,24.65,24.94,25.35,25.39,25.35,25.32
T2M,2020,25.53,25.65,26.48,27.26,26.93,25.55,25,25.09,25.4,25.23,25.41,25.2,25.73
QV2M,2016,15.93,15.87,15.69,16.54,17.94,17.76,17.52,17.46,17.4,17.82,17.82,17.64,17.09
QV2M,2017,17.46,17.09,17.27,17.7,18.31,17.7,17.46,17.7,17.58,17.94,17.82,17.82,17.64
QV2M,2018,17.46,17.4,16.66,17.7,18.07,17.7,17.58,17.58,17.33,17.7,17.52,17.64,17.52
QV2M,2019,16.85,15.38,16.17,17.15,17.94,18.25,17.4,17.58,17.27,17.7,17.52,17.46,17.21
QV2M,2020,17.33,16.36,16.42,16.48,17.82,17.76,17.33,17.52,17.58,17.7,17.82,17.64,17.33
CLRSKY_KT,2016,0.7,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.7
CLRSKY_KT,2017,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.68,0.7,0.69,0.7
CLRSKY_KT,2018,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.69,0.71,0.7,0.7,0.7,0.7,0.69,0.7,0.69,0.7,0.69,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.68,0.69,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,5.75,5.81,6.57,6.68,5.94,5.2,5.35,5.45,5.09,5.24,5.08,4.44,5.55
ALLSKY_SFC_SW_DWN,2017,4.65,5.5,5.54,6.28,5.28,4.79,4.67,4.86,5.15,5.32,4.9,5.03,5.16
ALLSKY_SFC_SW_DWN,2018,4.66,5.68,5.97,5.72,5.96,5.3,5.27,5.36,5.55,5.87,5.59,5.11,5.5
ALLSKY_SFC_SW_DWN,2019,4.71,6.09,5.94,6.47,6.26,5.17,4.48,5.77,6.15,5.9,5.59,5.08,5.63
ALLSKY_SFC_SW_DWN,2020,5.32,5.88,6.26,6.35,5.62,5.01,5.57,5.45,5.82,4.73,5.23,4.87,5.51
