-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  10.133   Longitude 124.8472 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 25.85 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.85,26.61,26.83,27.98,28.55,28.64,28.42,28.54,28.07,27.98,27.67,27.61,27.82
T2M,2017,26.8,26.24,26.79,27.8,28.54,28.66,28.15,28.47,28.44,28.26,28.03,27.68,27.83
T2M,2018,27.3,27.15,27.51,27.97,28.62,28.45,28.21,28.22,28.15,28.23,27.69,27.31,27.9
T2M,2019,26.4,25.98,26.59,27.41,28.83,28.71,28.28,28.35,28.44,28.37,28.18,27.69,27.78
T2M,2020,27.22,26.62,27.04,27.88,28.69,28.23,28.26,28.39,28.79,28.23,28.03,27.72,27.93
QV2M,2016,18.01,18.13,17.76,19.04,19.9,19.1,18.8,19.65,19.23,19.47,19.41,19.53,18.98
QV2M,2017,19.29,18.19,18.68,19.04,20.14,18.92,18.98,19.17,18.98,19.35,20.14,19.47,19.23
QV2M,2018,19.65,18.98,18.43,19.17,19.47,19.29,19.65,19.35,19.35,18.92,19.59,19.71,19.29
QV2M,2019,18.01,16.54,17.09,18.62,19.71,19.96,18.92,19.65,19.23,19.17,19.35,19.35,18.8
QV2M,2020,18.68,17.88,18.19,18.86,20.26,19.23,19.04,18.92,18.98,19.35,19.84,19.9,19.1
CLRSKY_KT,2016,0.7,0.7,0.71,0.71,0.7,0.69,0.69,0.68,0.68,0.69,0.7,0.68,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.7,0.7,0.7,0.68,0.69,0.69,0.68,0.7,0.68,0.69
CLRSKY_KT,2018,0.69,0.7,0.71,0.7,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.72,0.69,0.69,0.68,0.68,0.66,0.7,0.68,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.72,0.71,0.7,0.7,0.69,0.69,0.7,0.68,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.22,5.35,6.75,6.75,6.29,5.57,5.43,5.3,5.22,4.67,4.3,4.27,5.43
ALLSKY_SFC_SW_DWN,2017,3.35,4.48,4.87,6.09,5.74,5.49,4.78,5.35,5.28,4.49,4.54,4.03,4.87
ALLSKY_SFC_SW_DWN,2018,3.74,4.85,5.83,6.4,6.13,5.07,5.19,5.22,5.28,5.67,4.3,3.85,5.13
ALLSKY_SFC_SW_DWN,2019,4.37,5.51,6.3,6.46,6.31,5.7,5.12,4.99,5.28,5.55,4.69,4.31,5.38
ALLSKY_SFC_SW_DWN,2020,4.94,5.02,6.55,6.48,6.11,5.2,5.28,5.32,5.44,4.59,4.39,4.05,5.28
