-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  13.7306   Longitude 120.9328 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 122.58 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.98,25.5,27.05,29.06,29.56,28.49,27.9,27.21,27.08,27.07,26.87,26.48,27.36
T2M,2017,25.48,25.14,26.45,28.21,28.69,28.53,27.4,27.67,27.76,27.57,27.21,26.33,27.21
T2M,2018,25.68,25.88,26.55,28.04,29.08,27.6,26.85,26.85,26.99,27.56,27.06,26.4,27.05
T2M,2019,25.28,25.51,27.27,28.96,29.21,28.73,27.54,27.2,27.16,27.67,27.1,26.33,27.33
T2M,2020,25.78,25.13,26.72,28,29.36,28.6,28.2,27.49,28.02,27.36,26.94,26.6,27.36
QV2M,2016,17.46,16.78,17.4,18.07,19.1,19.29,19.04,20.14,19.53,19.35,19.04,18.98,18.68
QV2M,2017,17.46,16.6,17.03,18.01,19.59,19.29,19.41,19.35,19.35,19.23,19.78,18.68,18.68
QV2M,2018,17.94,17.27,16.91,18.07,19.04,19.71,20.08,19.53,18.98,18.49,18.55,18.43,18.62
QV2M,2019,16.36,15.44,16.3,17.46,18.98,20.32,19.41,19.96,19.29,18.8,18.92,18.25,18.31
QV2M,2020,17.15,16.36,17.7,18.74,19.84,19.29,19.23,19.17,19.23,19.84,19.41,19.23,18.74
CLRSKY_KT,2016,0.69,0.7,0.7,0.7,0.69,0.69,0.69,0.68,0.69,0.69,0.68,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.69,0.69,0.67,0.68,0.69,0.68,0.68,0.67,0.69
CLRSKY_KT,2018,0.67,0.7,0.69,0.7,0.7,0.68,0.67,0.67,0.69,0.69,0.69,0.68,0.69
CLRSKY_KT,2019,0.7,0.72,0.71,0.71,0.68,0.69,0.68,0.68,0.67,0.69,0.67,0.69,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.67,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,5.22,5.58,6.61,6.94,6.17,5.31,5.24,3.9,4.73,4.34,4.32,4.18,5.21
ALLSKY_SFC_SW_DWN,2017,4.36,5.57,6.22,6.69,5.99,5.77,4.23,4.91,4.9,4.53,4.63,3.94,5.14
ALLSKY_SFC_SW_DWN,2018,4.25,5.61,6.27,6.86,6.35,4.26,3.18,4.16,5,5.65,5.16,4.27,5.08
ALLSKY_SFC_SW_DWN,2019,5.08,6.24,6.75,6.99,5.81,5.48,4.65,3.88,4.38,5.82,4.33,4.52,5.32
ALLSKY_SFC_SW_DWN,2020,4.98,5.74,6.68,6.7,6.39,5.63,5.43,4.6,5.21,4.1,4.31,4.08,5.32
