-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  10.3065   Longitude 124.0027 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 98.77 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.6,26.67,27.83,29.58,29.48,28.31,27.76,27.54,27.3,27.13,26.74,26.87,27.65
T2M,2017,25.9,25.34,26.3,27.47,28.4,28.31,27.33,27.59,27.55,27.4,27.32,26.88,27.15
T2M,2018,26.28,26.22,26.6,27.66,28.65,27.99,27.42,27.31,27.19,27.63,26.98,26.61,27.22
T2M,2019,25.37,25.08,25.92,27.13,28.85,28.27,27.39,27.15,27.44,27.52,27.15,26.69,27.01
T2M,2020,26.38,25.76,27.08,28.83,29.56,28.13,27.69,27.56,28.08,27.39,27.07,26.95,27.55
QV2M,2016,17.33,17.4,16.85,17.52,18.92,19.1,18.74,19.47,19.1,19.47,19.1,19.29,18.55
QV2M,2017,18.86,17.58,18.19,18.68,19.84,18.86,18.92,19.17,19.23,19.35,19.78,19.47,18.98
QV2M,2018,19.23,18.55,18.13,18.8,19.04,18.86,19.23,18.86,19.17,18.86,19.1,19.17,18.92
QV2M,2019,17.52,16.3,16.72,18.31,19.47,19.84,19.1,19.47,19.23,19.23,19.23,18.98,18.62
QV2M,2020,18.37,17.33,17.4,17.76,19.29,18.8,18.86,19.1,19.23,19.59,19.59,19.65,18.74
CLRSKY_KT,2016,0.7,0.7,0.71,0.71,0.7,0.69,0.69,0.68,0.68,0.69,0.7,0.68,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.7,0.7,0.7,0.68,0.69,0.69,0.68,0.7,0.68,0.69
CLRSKY_KT,2018,0.69,0.7,0.71,0.7,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.72,0.69,0.69,0.68,0.68,0.66,0.7,0.68,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.72,0.71,0.7,0.7,0.69,0.69,0.7,0.68,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.22,5.35,6.75,6.75,6.29,5.57,5.43,5.3,5.22,4.67,4.3,4.27,5.43
ALLSKY_SFC_SW_DWN,2017,3.35,4.48,4.87,6.09,5.74,5.49,4.78,5.35,5.28,4.49,4.54,4.03,4.87
ALLSKY_SFC_SW_DWN,2018,3.74,4.85,5.83,6.4,6.13,5.07,5.19,5.22,5.28,5.67,4.3,3.85,5.13
ALLSKY_SFC_SW_DWN,2019,4.37,5.51,6.3,6.46,6.31,5.7,5.12,4.99,5.28,5.55,4.69,4.31,5.38
ALLSKY_SFC_SW_DWN,2020,4.94,5.02,6.55,6.48,6.11,5.2,5.28,5.32,5.44,4.59,4.39,4.05,5.28
