-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  7.9979   Longitude 124.2907 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 741.88 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,22.26,23.44,25.19,26.21,25.2,23.58,23.3,23.01,22.64,22.83,22.66,22.87,23.6
T2M,2017,22.07,21.6,22.48,23.36,24.28,23.36,22.57,23.03,23,22.74,23.15,22.73,22.87
T2M,2018,22.35,22.56,22.55,23.78,23.98,22.96,22.62,22.37,22.66,23.16,22.83,22.7,22.87
T2M,2019,21.75,21.37,23.13,25.24,24.95,23.87,22.73,22.74,23.12,23.44,22.99,22.41,23.15
T2M,2020,22.76,22.79,24.12,25.75,25.58,23.94,23.54,23.19,23.53,22.96,22.97,23.08,23.69
QV2M,2016,14.83,14.83,14.28,14.77,16.66,16.97,16.3,16.42,16.6,16.72,16.72,16.54,15.99
QV2M,2017,16.36,15.56,15.99,16.48,17.58,16.91,16.17,16.72,16.85,16.72,16.78,16.48,16.54
QV2M,2018,16.17,16.24,15.56,16.54,17.15,16.42,16.42,16.05,16.42,16.72,16.6,16.48,16.42
QV2M,2019,15.5,13.73,14.53,15.69,16.72,17.27,16.54,16.11,16.17,16.97,16.42,16.05,15.99
QV2M,2020,15.93,14.89,14.83,14.4,16.91,16.91,16.72,16.54,16.91,16.97,16.6,16.66,16.17
CLRSKY_KT,2016,0.72,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
CLRSKY_KT,2017,0.7,0.71,0.71,0.71,0.7,0.7,0.69,0.7,0.7,0.69,0.7,0.7,0.7
CLRSKY_KT,2018,0.7,0.7,0.72,0.71,0.7,0.7,0.69,0.69,0.7,0.7,0.71,0.71,0.7
CLRSKY_KT,2019,0.7,0.73,0.72,0.71,0.7,0.7,0.7,0.7,0.68,0.7,0.7,0.7,0.7
CLRSKY_KT,2020,0.71,0.71,0.72,0.72,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.7
ALLSKY_SFC_SW_DWN,2016,5.71,5.71,6.34,6.16,5.43,5.02,5.33,5.12,5.22,4.86,4.78,4.5,5.35
ALLSKY_SFC_SW_DWN,2017,3.95,4.79,5.1,5.7,5.28,5.02,4.88,5,4.96,4.53,4.6,4.67,4.87
ALLSKY_SFC_SW_DWN,2018,4.43,5.07,5.93,5.91,5.73,5.09,4.88,4.91,4.82,5.34,5.16,4.85,5.18
ALLSKY_SFC_SW_DWN,2019,4.32,6.06,5.71,6.05,5.73,4.95,4.74,5.28,5.23,5.21,5.15,4.9,5.27
ALLSKY_SFC_SW_DWN,2020,5.22,5.39,6.06,6.21,5.16,5.05,5.34,5.26,5.23,4.63,4.79,4.66,5.25
