-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  12.2807   Longitude 123.4417 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 30.43 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.05,25.75,26.56,28.08,28.94,29.01,28.44,28.24,28.06,27.72,27.1,26.82,27.57
T2M,2017,25.8,25.37,26.11,27.48,28.78,28.87,28,28.44,28.3,28.03,27.51,27.02,27.49
T2M,2018,26.22,26.23,26.51,27.49,28.51,28.4,28.01,27.98,27.83,27.81,27.2,26.64,27.41
T2M,2019,25.36,25.17,26.17,27.8,29.26,28.94,28.21,28,28.07,27.98,27.55,26.79,27.45
T2M,2020,26.24,25.54,26.58,27.83,28.97,28.44,28.41,28.29,28.64,28.01,27.36,27.06,27.62
QV2M,2016,17.7,17.58,17.76,18.74,19.35,19.59,19.29,20.2,19.84,19.96,19.47,19.47,19.1
QV2M,2017,18.37,17.15,17.82,18.62,20.14,19.53,19.53,19.65,19.59,19.53,20.08,19.65,19.17
QV2M,2018,18.98,18.37,18.01,19.04,20.02,19.53,19.9,19.47,19.71,18.92,19.04,19.1,19.17
QV2M,2019,16.78,16.05,16.66,17.94,19.65,20.39,19.47,19.96,19.71,19.29,19.53,19.04,18.74
QV2M,2020,18.13,17.03,17.82,18.74,20.2,19.59,19.35,19.53,19.71,20.02,19.78,19.96,19.17
CLRSKY_KT,2016,0.7,0.7,0.71,0.71,0.7,0.69,0.69,0.67,0.68,0.69,0.69,0.68,0.7
CLRSKY_KT,2017,0.68,0.7,0.7,0.71,0.7,0.7,0.68,0.69,0.69,0.69,0.69,0.68,0.7
CLRSKY_KT,2018,0.69,0.7,0.7,0.7,0.7,0.68,0.67,0.67,0.69,0.69,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.73,0.72,0.69,0.69,0.68,0.67,0.66,0.7,0.68,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.71,0.71,0.7,0.7,0.69,0.69,0.69,0.68,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,4.94,5.02,6.45,7,6.45,5.59,5.2,5.12,5.38,4.41,4.14,4.04,5.31
ALLSKY_SFC_SW_DWN,2017,3.59,4.89,5.47,6.48,6.02,5.93,4.61,5.34,5.03,4.5,4.37,3.65,4.99
ALLSKY_SFC_SW_DWN,2018,3.61,4.79,5.61,6.44,6.29,5.05,4.94,5.14,5.2,5.43,4.73,3.78,5.08
ALLSKY_SFC_SW_DWN,2019,4.5,5.79,6.55,6.9,6.23,5.75,4.84,4.34,5.23,5.43,4.51,4.22,5.35
ALLSKY_SFC_SW_DWN,2020,4.76,5,6.43,6.72,6.21,5.58,5.47,5.07,5.06,4.31,4.22,3.85,5.22
