-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  15.7096   Longitude 120.9046 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 107.63 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.15,25.91,28.83,31.03,29.65,27.94,27.35,26.55,26.65,26.27,25.6,25.26,27.19
T2M,2017,24.18,24.48,27.2,29.89,29.23,27.74,26.64,26.98,26.98,26.63,25.87,24.97,26.74
T2M,2018,24.9,26.44,27.65,29.13,29.54,27.23,26.32,26.14,26.52,26.52,25.72,26.01,26.84
T2M,2019,24.7,25.62,28.81,29.7,29.44,28.4,26.8,26.45,26.31,26.76,25.84,25.06,27
T2M,2020,25.09,24.9,27.58,28.29,29.15,28.16,27.26,26.66,27.36,26.55,25.77,25.53,26.87
QV2M,2016,15.93,14.59,14.95,15.26,18.07,19.23,19.53,20.08,19.65,19.29,17.88,17.7,17.7
QV2M,2017,15.62,14.83,15.01,15.5,18.13,19.53,19.47,19.71,19.59,19.1,18.74,17.03,17.7
QV2M,2018,16.05,15.14,14.4,16.05,17.94,19.53,19.65,19.59,19.23,18.19,17.09,16.24,17.46
QV2M,2019,14.16,13.24,13.67,15.99,18.43,19.9,19.59,20.02,19.41,18.62,18.25,16.91,17.33
QV2M,2020,15.08,13.67,15.81,17.03,19.29,19.41,19.41,19.47,19.71,19.59,18.55,18.25,17.94
CLRSKY_KT,2016,0.7,0.7,0.69,0.7,0.69,0.7,0.7,0.68,0.69,0.69,0.69,0.68,0.69
CLRSKY_KT,2017,0.7,0.7,0.7,0.7,0.69,0.7,0.68,0.7,0.7,0.69,0.69,0.68,0.7
CLRSKY_KT,2018,0.68,0.7,0.7,0.7,0.7,0.68,0.69,0.67,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.71,0.72,0.7,0.7,0.68,0.69,0.69,0.69,0.68,0.7,0.68,0.7,0.7
CLRSKY_KT,2020,0.7,0.71,0.7,0.69,0.7,0.7,0.7,0.69,0.7,0.69,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.08,5.25,5.94,6.59,5.98,5.4,5.26,3.85,4.68,4.49,4.5,4.28,5.11
ALLSKY_SFC_SW_DWN,2017,4.51,5.42,6.21,6.38,5.68,5.89,4.62,5.1,4.84,4.51,4.3,4.17,5.13
ALLSKY_SFC_SW_DWN,2018,4.43,5.67,6.21,6.46,6.44,4.39,4.13,3.67,5.08,5.56,5.13,4.14,5.1
ALLSKY_SFC_SW_DWN,2019,5,6.03,6.43,6.38,5.7,5.34,4.81,3.77,4.1,5.51,4.27,4.48,5.15
ALLSKY_SFC_SW_DWN,2020,4.91,5.77,6.52,6.35,5.93,6.1,5.77,4.72,5.55,4.3,4.42,4.02,5.36
