-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  8.1345   Longitude 123.8267 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 295.93 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.48,26.43,27.73,28.48,27.53,25.98,25.79,25.51,25.35,25.58,25.48,25.63,26.24
T2M,2017,24.76,24.5,25.25,26.08,26.64,25.82,25.2,25.49,25.51,25.48,26,25.62,25.54
T2M,2018,25.23,25.33,25.49,26.48,26.61,25.53,25.19,25.15,25.29,25.84,25.63,25.55,25.61
T2M,2019,24.51,24.74,26.15,27.48,27.88,26.14,24.97,25.36,25.71,25.82,25.73,25.41,25.83
T2M,2020,25.6,25.87,26.88,28.54,28,25.94,25.64,25.62,25.93,25.51,25.8,25.88,26.26
QV2M,2016,16.66,16.42,15.81,16.85,18.43,18.43,18.07,18.43,17.94,18.25,18.31,18.31,17.64
QV2M,2017,17.94,17.15,17.52,17.94,19.17,18.37,17.82,18.25,18.19,18.37,18.62,18.31,18.13
QV2M,2018,18.13,17.82,17.4,18.07,18.43,18.13,18.25,18.01,17.94,18.19,18.49,18.31,18.07
QV2M,2019,17.15,15.38,15.99,17.33,17.94,18.86,18.01,18.13,17.94,18.49,18.19,18.01,17.64
QV2M,2020,17.52,16.48,16.6,16.36,18.31,18.55,18.37,18.19,18.43,18.49,18.55,18.43,17.88
CLRSKY_KT,2016,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.68,0.69,0.69,0.69,0.69,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.7,0.7,0.69,0.68,0.69,0.69,0.68,0.7,0.69,0.69
CLRSKY_KT,2018,0.69,0.7,0.7,0.7,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.71,0.71,0.69,0.69,0.68,0.68,0.66,0.69,0.68,0.69,0.69
CLRSKY_KT,2020,0.7,0.7,0.71,0.71,0.69,0.69,0.69,0.69,0.7,0.68,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.45,5.7,6.38,6.12,5.62,5.06,5.07,5.21,5.02,4.61,4.36,4.48,5.26
ALLSKY_SFC_SW_DWN,2017,3.76,4.64,5.07,5.66,5.43,5.15,4.78,5.22,5.13,4.31,4.66,4.25,4.84
ALLSKY_SFC_SW_DWN,2018,4.37,4.94,5.63,6.07,5.47,5.01,4.73,5.17,4.87,5.45,4.69,4.4,5.07
ALLSKY_SFC_SW_DWN,2019,4.22,5.98,5.83,6.07,5.74,5.06,4.74,5.09,5.28,5.24,4.78,4.52,5.2
ALLSKY_SFC_SW_DWN,2020,5.18,5.33,6,6.33,5.41,4.93,5.09,5.17,5.31,4.59,4.72,4.48,5.21
