-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  17.0162   Longitude 122.3961 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 156.47 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,24.8,24.18,25.28,27.5,28.44,28.69,28.08,28.18,28.02,27.01,26.36,25.76,26.87
T2M,2017,24.34,23.66,24.69,26.27,28.06,28.44,27.75,28.18,28.04,27.15,26.62,25.04,26.54
T2M,2018,24.48,24.53,24.8,26.32,28.26,28.51,27.86,27.87,27.37,26.6,26.02,25.63,26.53
T2M,2019,24.26,24.2,25.37,27.15,28.03,28.85,28.19,28.19,27.47,26.76,26.34,25.41,26.7
T2M,2020,24.71,23.92,25.76,26.71,28.42,28.12,27.84,27.88,28.01,27.5,26.51,25.88,26.78
QV2M,2016,16.3,15.62,16.72,18.19,19.17,19.78,19.41,19.71,19.47,19.41,18.19,17.94,18.37
QV2M,2017,15.81,15.14,16.11,17.64,19.47,19.96,19.47,19.9,19.9,19.1,19.1,17.15,18.25
QV2M,2018,16.48,16.6,15.87,17.58,18.86,19.59,19.35,19.65,19.29,18.07,17.4,17.4,18.01
QV2M,2019,15.26,14.71,15.87,17.76,19.41,20.32,19.59,20.02,18.98,18.49,18.37,17.46,18.07
QV2M,2020,15.87,14.95,16.97,17.82,19.84,19.78,19.59,19.41,19.78,19.78,18.62,18.55,18.43
CLRSKY_KT,2016,0.68,0.69,0.67,0.69,0.69,0.7,0.7,0.68,0.69,0.69,0.69,0.67,0.69
CLRSKY_KT,2017,0.69,0.69,0.69,0.69,0.69,0.7,0.7,0.69,0.7,0.69,0.68,0.66,0.69
CLRSKY_KT,2018,0.67,0.69,0.7,0.7,0.7,0.69,0.69,0.68,0.7,0.69,0.7,0.67,0.69
CLRSKY_KT,2019,0.7,0.72,0.7,0.7,0.67,0.7,0.7,0.69,0.68,0.7,0.67,0.68,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.68,0.7,0.7,0.7,0.69,0.7,0.69,0.68,0.66,0.69
ALLSKY_SFC_SW_DWN,2016,3.87,3.57,4.1,6.46,6.35,6.09,5.84,5.17,4.74,4.19,3.48,2.77,4.72
ALLSKY_SFC_SW_DWN,2017,3.1,3.37,4.54,5.5,6.02,6.36,5.06,5.41,5.35,3.73,3.03,2.34,4.49
ALLSKY_SFC_SW_DWN,2018,2.85,3.6,4.83,5.63,6.71,5.55,5.25,4.9,5.25,4.67,4.32,3.14,4.73
ALLSKY_SFC_SW_DWN,2019,3.56,5.31,5.74,6.12,5.68,6.45,5.63,4.85,4.43,4.66,2.55,3.18,4.84
ALLSKY_SFC_SW_DWN,2020,3.46,3.88,5.71,5.43,6.17,6.59,5.85,5.17,5.51,3.63,3.17,2.43,4.75
