-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  13.5836   Longitude 123.2612 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 56.54 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.98,25.62,26.74,28.8,29.73,28.86,28.36,27.89,27.89,27.3,26.8,26.53,27.55
T2M,2017,25.43,25.01,26.16,27.85,29,28.78,27.82,28.05,27.89,27.51,27.3,26.62,27.3
T2M,2018,25.78,25.95,26.17,27.6,28.8,28.18,27.55,27.5,27.44,27.38,26.98,26.51,27.16
T2M,2019,25.05,25.22,27.26,29.51,30.14,29.26,28.05,27.65,27.6,27.51,27.05,26.55,27.58
T2M,2020,25.94,25.23,26.75,28.15,29.33,28.64,28.12,27.8,28.22,27.69,27.01,26.75,27.48
QV2M,2016,17.09,16.78,17.27,17.82,18.43,19.35,19.04,20.08,19.53,19.59,18.8,18.86,18.55
QV2M,2017,17.4,16.36,17.09,17.76,19.53,19.29,19.17,19.71,19.65,19.29,19.53,19.04,18.68
QV2M,2018,18.07,17.52,16.97,18.13,19.1,19.53,19.9,19.35,19.47,18.25,18.19,18.31,18.55
QV2M,2019,15.81,14.83,15.26,16.24,18.62,19.84,19.29,19.84,19.47,18.68,18.98,18.31,17.94
QV2M,2020,17.15,15.93,17.21,18.01,19.53,19.17,19.17,19.35,19.53,19.78,19.17,19.23,18.62
CLRSKY_KT,2016,0.7,0.7,0.71,0.71,0.7,0.7,0.7,0.68,0.69,0.69,0.7,0.68,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.71,0.7,0.7,0.69,0.7,0.7,0.69,0.7,0.68,0.7
CLRSKY_KT,2018,0.69,0.7,0.7,0.71,0.71,0.68,0.68,0.67,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.7,0.73,0.73,0.73,0.7,0.7,0.69,0.67,0.68,0.7,0.69,0.69,0.7
CLRSKY_KT,2020,0.7,0.71,0.72,0.71,0.7,0.7,0.7,0.69,0.7,0.69,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,4.53,4.75,5.9,6.46,6.03,5.3,5.02,5.03,5.22,4.11,3.82,3.48,4.97
ALLSKY_SFC_SW_DWN,2017,3.15,4.83,5.32,5.96,5.92,5.82,4.43,5.21,4.8,4.21,4.07,3.28,4.75
ALLSKY_SFC_SW_DWN,2018,3.33,4.44,5.23,5.96,5.84,4.92,5,4.9,4.98,4.98,4.93,3.66,4.85
ALLSKY_SFC_SW_DWN,2019,4.22,5.67,6.11,6.81,6.02,5.76,4.91,4.27,4.9,5.03,4.19,4.06,5.16
ALLSKY_SFC_SW_DWN,2020,4.13,5.06,6.17,6.4,6.28,5.66,5.2,4.76,5.06,4.21,3.88,3.5,5.02
