-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  9.7419   Longitude 118.7415 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 42.81 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.38,27.28,28.08,29.37,29.6,28.52,28.26,28.33,27.8,27.85,27.93,27.75,28.18
T2M,2017,27.26,26.65,27.19,28.53,28.9,28.3,28.01,28.15,28.12,28.08,28.16,27.8,27.94
T2M,2018,27.01,26.97,27.82,28.51,29.01,28.65,28.26,28.11,27.99,28.54,28.26,27.76,28.08
T2M,2019,26.9,26.4,27.61,28.7,29.83,29.04,28.04,28.3,28.39,28.24,28.19,27.87,28.13
T2M,2020,27.55,27.16,27.98,29.18,29.58,28.44,28.07,28.15,28.34,27.93,28.12,27.85,28.19
QV2M,2016,18.07,17.82,17.88,18.31,19.84,18.98,18.8,19.71,18.92,19.17,19.17,19.35,18.86
QV2M,2017,18.74,17.76,18.01,18.49,19.78,18.98,18.98,18.92,18.92,19.23,19.71,19.71,18.92
QV2M,2018,19.1,18.19,18.07,18.98,19.53,19.17,19.29,19.17,18.92,18.74,19.47,19.17,18.98
QV2M,2019,17.46,16.42,16.91,18.43,18.8,19.78,18.98,19.53,19.23,19.04,19.04,18.74,18.55
QV2M,2020,18.37,17.58,17.88,18.92,19.71,19.04,18.98,18.98,18.98,19.35,19.59,19.65,18.92
CLRSKY_KT,2016,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.68,0.69,0.69,0.69,0.68,0.69
CLRSKY_KT,2017,0.69,0.7,0.7,0.7,0.7,0.69,0.68,0.69,0.69,0.68,0.69,0.68,0.69
CLRSKY_KT,2018,0.68,0.7,0.7,0.7,0.69,0.68,0.66,0.67,0.68,0.7,0.69,0.69,0.69
CLRSKY_KT,2019,0.69,0.72,0.72,0.71,0.7,0.69,0.68,0.67,0.64,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.7,0.7,0.71,0.7,0.7,0.69,0.7,0.69,0.7,0.68,0.68,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.78,5.74,6.77,6.72,5.87,4.66,4.94,4.67,4.69,4.28,4.7,4.42,5.27
ALLSKY_SFC_SW_DWN,2017,4.48,5.32,5.88,6.15,5.44,5.19,4.69,4.82,4.88,4.4,4.5,3.63,4.94
ALLSKY_SFC_SW_DWN,2018,3.95,5.11,6.25,6.29,5.47,5.16,3.95,4.72,4.5,5.41,4.59,4.67,5
ALLSKY_SFC_SW_DWN,2019,5.15,6.33,6.79,6.59,5.84,4.77,4.28,4.63,5,4.99,4.51,4.81,5.3
ALLSKY_SFC_SW_DWN,2020,5.3,5.72,6.55,6.38,6.08,4.71,4.85,4.94,5.01,3.95,4.39,4.08,5.16
