-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  8.8919   Longitude 117.5208 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 66.32 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.78,27.43,28.5,30.14,30.16,28.29,28.17,28.13,27.51,27.36,27.94,27.87,28.27
T2M,2017,27.55,26.94,27.55,28.77,29.18,28.07,27.8,28.1,28.08,27.73,28.11,27.73,27.98
T2M,2018,27.12,26.61,27.62,28.94,29.51,28.69,27.98,27.88,27.52,28.24,28.32,27.92,28.04
T2M,2019,27.18,27.08,28.15,29.85,29.53,29.05,28.08,28.15,28.3,28.31,27.93,27.76,28.29
T2M,2020,27.63,27.56,28.56,29.77,30.25,28.68,28.39,28.15,28.36,27.44,27.9,27.87,28.38
QV2M,2016,17.64,17.7,17.4,17.76,19.1,19.1,18.8,19.78,19.17,19.17,18.74,19.1,18.62
QV2M,2017,18.68,17.7,17.7,18.25,19.29,18.86,19.1,18.98,18.86,19.23,19.29,19.59,18.8
QV2M,2018,18.8,17.94,18.01,18.37,18.8,19.04,19.47,19.23,19.1,18.62,19.17,19.04,18.8
QV2M,2019,17.52,15.99,16.66,17.46,19.04,19.65,18.92,19.35,19.1,18.68,19.04,18.62,18.37
QV2M,2020,18.31,17.4,17.46,18.19,18.98,18.8,18.62,19.04,18.98,19.35,19.29,19.47,18.68
CLRSKY_KT,2016,0.7,0.7,0.7,0.7,0.69,0.68,0.69,0.68,0.69,0.68,0.69,0.68,0.69
CLRSKY_KT,2017,0.69,0.7,0.7,0.7,0.69,0.69,0.68,0.69,0.69,0.68,0.69,0.68,0.69
CLRSKY_KT,2018,0.68,0.7,0.7,0.7,0.69,0.68,0.66,0.67,0.68,0.69,0.69,0.68,0.69
CLRSKY_KT,2019,0.69,0.71,0.71,0.71,0.7,0.68,0.67,0.66,0.64,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.68,0.69
ALLSKY_SFC_SW_DWN,2016,5.92,5.81,6.71,6.73,5.63,4.66,4.95,4.79,4.41,4.28,4.75,4.07,5.22
ALLSKY_SFC_SW_DWN,2017,4.53,5.27,5.73,6.09,5.39,5.08,4.69,4.79,5.08,4.26,4.23,3.65,4.89
ALLSKY_SFC_SW_DWN,2018,3.84,5.17,6.11,6.16,5.19,5.37,4.14,4.84,4.38,5.37,4.49,4.75,4.98
ALLSKY_SFC_SW_DWN,2019,5.09,6.33,6.57,6.67,5.9,4.73,4.28,4.7,5.19,4.94,4.51,4.61,5.28
ALLSKY_SFC_SW_DWN,2020,5.52,5.77,6.55,6.43,6.07,4.86,4.92,5.14,4.95,3.87,4.25,3.98,5.19
