-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  11.0745   Longitude 122.6746 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 199.27 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.73,26.05,27.9,29.76,28.8,26.83,26.22,26.03,25.82,25.73,25.32,25.49,26.64
T2M,2017,24.48,24.22,25.73,27.41,27.8,26.8,25.77,26.22,26.13,25.99,25.9,25.52,26.01
T2M,2018,24.8,24.88,25.55,27.28,27.44,26.33,25.79,25.63,25.62,26.04,25.67,25.27,25.87
T2M,2019,24.07,24.56,26.14,27.75,28.71,27.19,25.94,25.76,25.93,26.03,25.62,25.26,26.08
T2M,2020,25,24.9,27.03,29.24,29.15,26.69,26.28,26.03,26.57,25.95,25.62,25.61,26.51
QV2M,2016,16.54,16.42,15.69,16.24,18.31,19.1,18.62,19.29,18.92,19.1,18.55,18.74,17.94
QV2M,2017,17.88,16.66,16.85,17.52,19.1,18.98,18.8,18.98,18.92,18.98,19.29,18.8,18.43
QV2M,2018,18.43,17.7,17.15,17.76,18.8,18.86,19.17,18.68,18.8,18.43,18.49,18.37,18.37
QV2M,2019,16.42,15.08,15.2,16.72,18.43,19.47,18.8,19.17,18.92,18.92,18.8,18.31,17.88
QV2M,2020,17.52,16.24,16.24,16.36,18.62,18.92,18.86,18.86,19.17,19.29,18.98,19.23,18.19
CLRSKY_KT,2016,0.7,0.7,0.71,0.71,0.7,0.69,0.69,0.68,0.69,0.69,0.69,0.68,0.7
CLRSKY_KT,2017,0.68,0.7,0.7,0.7,0.69,0.7,0.68,0.69,0.69,0.69,0.69,0.68,0.69
CLRSKY_KT,2018,0.68,0.7,0.7,0.7,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.72,0.69,0.69,0.69,0.67,0.67,0.7,0.68,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.71,0.71,0.7,0.7,0.69,0.69,0.69,0.68,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,4.9,4.95,6.44,6.48,5.88,5.2,5.01,4.63,4.93,4.42,4.29,4.03,5.1
ALLSKY_SFC_SW_DWN,2017,3.42,4.76,5.19,5.84,5.6,5.62,4.37,5,4.92,4.23,4.41,3.59,4.74
ALLSKY_SFC_SW_DWN,2018,3.7,4.78,5.62,6.13,5.81,4.84,4.27,4.6,4.63,5.38,4.55,3.72,4.84
ALLSKY_SFC_SW_DWN,2019,4.26,5.74,6.37,6.49,5.92,5.52,4.89,3.95,4.96,5.21,4.32,4.04,5.13
ALLSKY_SFC_SW_DWN,2020,4.51,4.73,6.17,6.24,5.8,4.97,5.19,4.93,5.09,4.25,4.27,3.99,5.01
