-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  12.3528   Longitude 121.0654 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 205.99 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.4,25.39,26.66,28.47,28.56,27.49,26.8,26.48,26.26,26.19,26.05,25.88,26.64
T2M,2017,24.77,24.51,25.81,27.51,27.99,27.3,26.4,26.75,26.75,26.62,26.4,25.76,26.39
T2M,2018,24.97,25.18,25.9,27.39,27.93,26.83,26.08,26.12,26.15,26.56,26.14,25.72,26.25
T2M,2019,24.55,24.79,26.43,27.92,28.85,27.8,26.58,26.32,26.35,26.73,26.24,25.59,26.52
T2M,2020,25.19,24.62,26.37,27.87,28.8,27.29,26.98,26.51,27,26.51,26.12,25.92,26.61
QV2M,2016,17.15,16.54,16.78,17.33,18.62,19.04,18.8,19.71,19.17,19.29,18.8,18.74,18.31
QV2M,2017,17.4,16.36,16.85,17.52,19.17,19.1,19.1,19.17,19.1,19.04,19.47,18.74,18.43
QV2M,2018,17.88,17.21,16.85,17.7,18.98,19.29,19.59,19.04,18.92,18.49,18.43,18.25,18.37
QV2M,2019,15.99,15.01,15.69,16.97,18.43,19.78,19.17,19.47,18.98,18.74,18.8,18.07,17.94
QV2M,2020,17.21,16.17,16.91,17.76,19.17,19.1,19.1,19.04,19.04,19.47,19.04,19.1,18.43
CLRSKY_KT,2016,0.7,0.7,0.71,0.71,0.7,0.69,0.69,0.68,0.69,0.69,0.69,0.68,0.7
CLRSKY_KT,2017,0.68,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.68,0.69
CLRSKY_KT,2018,0.69,0.7,0.7,0.71,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.73,0.72,0.69,0.7,0.69,0.67,0.67,0.7,0.68,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.71,0.71,0.7,0.7,0.69,0.69,0.69,0.68,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.01,5.45,6.47,6.84,6.09,5.25,4.93,4.49,4.94,4.48,4.44,4.26,5.22
ALLSKY_SFC_SW_DWN,2017,4.04,5.39,5.96,6.43,5.94,5.67,4.31,5.08,4.95,4.31,4.55,3.8,5.03
ALLSKY_SFC_SW_DWN,2018,4.02,5.31,6,6.61,6.01,4.74,3.96,4.36,4.85,5.39,5.02,4.12,5.03
ALLSKY_SFC_SW_DWN,2019,4.99,6.14,6.59,6.9,6.12,5.59,4.81,4.08,4.93,5.53,4.47,4.37,5.37
ALLSKY_SFC_SW_DWN,2020,4.68,5.49,6.54,6.76,6.11,5.37,5.16,4.83,5.17,4.14,4.18,4.08,5.21
