-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  14.9713   Longitude 120.155 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 87.8 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.4,26.62,28.05,29.92,30,28.65,28.07,27.37,27.36,27.23,27.14,26.7,27.8
T2M,2017,25.82,26.06,27.66,28.98,29.17,28.44,27.66,27.8,27.84,27.89,27.33,26.48,27.6
T2M,2018,26.27,26.98,27.85,29.12,30.01,27.96,27.14,27.09,27.17,27.84,27.24,27.44,27.68
T2M,2019,26.37,26.82,28.3,29.7,29.27,29.25,27.76,27.41,27.12,27.83,27.25,26.38,27.79
T2M,2020,26.15,26.15,28.13,28.87,29.68,28.9,28.33,27.58,28.12,27.77,27.05,26.81,27.8
QV2M,2016,16.72,15.62,16.42,17.4,19.04,19.65,19.65,20.32,19.9,19.59,18.55,18.37,18.43
QV2M,2017,16.54,15.75,16.3,17.33,19.1,19.71,19.78,19.65,19.59,19.29,19.41,17.7,18.37
QV2M,2018,16.91,16.24,15.93,17.4,18.74,19.96,20.08,19.9,19.29,18.31,17.94,17.21,18.19
QV2M,2019,15.38,14.59,15.56,17.33,19.23,20.32,19.78,20.39,19.53,18.62,18.74,17.76,18.13
QV2M,2020,16.24,15.08,16.85,18.07,19.71,19.71,19.65,19.78,19.78,19.9,19.29,18.68,18.55
CLRSKY_KT,2016,0.69,0.7,0.7,0.7,0.69,0.68,0.68,0.68,0.69,0.68,0.68,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.69,0.69,0.67,0.68,0.69,0.68,0.68,0.67,0.68
CLRSKY_KT,2018,0.67,0.7,0.69,0.7,0.7,0.67,0.67,0.67,0.69,0.69,0.69,0.68,0.68
CLRSKY_KT,2019,0.7,0.71,0.7,0.7,0.68,0.69,0.68,0.67,0.67,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.69,0.69,0.68,0.69,0.68,0.69,0.67,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,5.1,5.29,6.42,6.92,6.16,5.49,5.2,3.88,4.64,4.49,4.44,4.09,5.17
ALLSKY_SFC_SW_DWN,2017,4.26,5.31,6.24,6.65,6,5.9,4.38,5.15,4.95,4.4,4.43,4.02,5.14
ALLSKY_SFC_SW_DWN,2018,4.33,5.65,6.27,6.75,6.52,4.28,3.54,3.88,5.17,5.67,5.09,3.94,5.08
ALLSKY_SFC_SW_DWN,2019,4.87,6,6.73,6.86,5.88,5.71,4.78,3.79,4.39,5.7,4.27,4.43,5.28
ALLSKY_SFC_SW_DWN,2020,4.85,5.55,6.67,6.57,6.37,5.89,5.58,4.66,5.6,4.13,4.3,4.04,5.35
