-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  14.647   Longitude 121.0403 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 201.16 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,24.45,24.05,25.93,28.19,28.75,27.48,27.16,26.3,26.36,26.05,25.19,24.84,26.23
T2M,2017,23.64,23.3,24.99,27.53,28.01,27.68,26.4,26.84,26.81,26.19,25.6,24.55,25.98
T2M,2018,24.02,24.51,24.91,26.8,27.92,26.65,25.9,25.88,26.2,25.93,25.35,24.83,25.75
T2M,2019,23.25,23.65,26.27,28.25,28.48,27.9,26.57,26.14,26.08,26.23,25.51,24.81,26.11
T2M,2020,24.34,23.27,25.26,26.42,27.96,27.34,26.92,26.55,27.03,26.18,25.39,25,25.98
QV2M,2016,16.6,15.81,16.54,17.09,18.43,18.98,18.8,19.59,19.23,19.04,18.25,18.19,18.07
QV2M,2017,16.36,15.62,16.05,17.09,18.86,18.98,19.04,19.1,19.23,18.98,18.98,17.7,18.01
QV2M,2018,16.85,16.48,15.87,17.15,18.43,19.23,19.35,18.98,18.8,17.94,17.46,17.4,17.82
QV2M,2019,15.38,14.47,15.08,16.48,18.62,19.84,19.04,19.53,18.8,18.31,18.37,17.52,17.64
QV2M,2020,15.99,15.26,17.09,18.19,19.71,19.23,19.04,18.92,19.17,19.47,18.68,18.43,18.31
CLRSKY_KT,2016,0.69,0.7,0.7,0.71,0.7,0.69,0.69,0.68,0.69,0.69,0.69,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.7,0.7,0.68,0.69,0.69,0.68,0.69,0.67,0.69
CLRSKY_KT,2018,0.67,0.7,0.7,0.71,0.7,0.68,0.67,0.67,0.69,0.69,0.7,0.68,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.72,0.69,0.69,0.68,0.67,0.67,0.69,0.67,0.68,0.7
CLRSKY_KT,2020,0.69,0.7,0.71,0.7,0.7,0.7,0.7,0.68,0.69,0.67,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,4.24,4.4,5.43,6.46,5.74,5.21,5.09,4.18,4.73,4.17,3.67,3.2,4.71
ALLSKY_SFC_SW_DWN,2017,3.3,4.18,5.31,5.83,5.8,5.73,4.22,5.09,4.58,3.67,3.63,2.92,4.52
ALLSKY_SFC_SW_DWN,2018,3.4,4.56,5.23,6.02,5.86,4.54,4.24,4.18,4.78,5.05,4.32,3.12,4.61
ALLSKY_SFC_SW_DWN,2019,3.98,5.28,6.06,6.49,5.74,5.65,4.93,4.06,4.31,4.76,3.77,3.72,4.89
ALLSKY_SFC_SW_DWN,2020,3.97,4.4,5.95,5.87,5.86,5.6,5.26,4.59,5.12,3.6,3.56,3.31,4.76
