-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  4.9149   Longitude 119.7914 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3.45 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,28.2,27.93,28.46,28.96,28.93,28.27,28.07,28.12,27.83,27.52,28.03,27.86,28.19
T2M,2017,27.51,27.15,27.23,28.16,28.56,27.99,27.84,27.87,28.12,28.4,28.08,28.04,27.91
T2M,2018,27.33,27.55,27.94,28.23,28.75,28.38,27.96,27.9,28.03,28.24,28.3,28.07,28.06
T2M,2019,27.51,27.32,27.7,28.53,29.05,28.51,27.88,28.03,28.34,28.55,28.46,28.23,28.18
T2M,2020,28.04,27.96,28.3,28.92,29.1,28.24,27.98,28.22,28.36,27.86,28.15,28.04,28.26
QV2M,2016,18.49,18.55,18.37,18.92,19.9,18.68,19.17,19.78,18.8,18.86,19.1,18.98,18.98
QV2M,2017,18.92,18.55,18.68,18.86,19.59,18.8,19.1,19.23,18.98,19.29,19.29,19.35,19.04
QV2M,2018,18.8,18.74,18.74,18.92,19.29,19.17,19.53,19.17,18.98,18.8,19.41,19.41,19.04
QV2M,2019,18.62,17.46,18.07,18.92,19.17,19.78,18.8,19.29,19.17,18.49,18.92,18.98,18.8
QV2M,2020,18.74,18.55,18.62,18.62,19.9,19.17,18.92,18.98,19.04,19.1,19.41,19.17,19.04
CLRSKY_KT,2016,0.7,0.69,0.7,0.7,0.7,0.69,0.69,0.68,0.69,0.69,0.69,0.68,0.69
CLRSKY_KT,2017,0.69,0.69,0.7,0.7,0.7,0.69,0.68,0.7,0.7,0.69,0.69,0.68,0.69
CLRSKY_KT,2018,0.7,0.7,0.7,0.69,0.7,0.69,0.68,0.68,0.68,0.7,0.69,0.68,0.69
CLRSKY_KT,2019,0.69,0.7,0.7,0.7,0.7,0.69,0.69,0.68,0.66,0.7,0.68,0.68,0.69
CLRSKY_KT,2020,0.69,0.69,0.7,0.7,0.7,0.69,0.7,0.7,0.7,0.68,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.8,5.93,6.27,6.69,5.81,4.91,5.39,5.45,5.45,4.56,5.55,4.91,5.56
ALLSKY_SFC_SW_DWN,2017,4.82,4.69,5.2,6.18,5.77,4.64,4.81,5.17,5.11,5.11,5.27,4.69,5.12
ALLSKY_SFC_SW_DWN,2018,4.62,5.53,5.53,5.36,5.86,5.27,4.68,5.36,5.19,5.74,5.71,4.84,5.3
ALLSKY_SFC_SW_DWN,2019,5.21,6.4,6.5,6.44,6.33,5.29,5.01,5.84,6.07,6.12,5.66,5.09,5.82
ALLSKY_SFC_SW_DWN,2020,5.46,5.92,6.19,6.45,5.82,4.82,5.09,5.58,5.45,4.39,5.14,4.57,5.4
