-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  8.2442   Longitude 123.0005 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 340.06 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.62,26.94,28.76,28.44,27.27,25.4,25.06,24.91,24.69,24.69,24.76,24.8,25.94
T2M,2017,24.1,23.87,24.74,25.66,25.87,25.01,24.56,24.78,24.89,24.68,25.05,24.8,24.83
T2M,2018,24.4,24.51,24.79,25.95,25.86,24.95,24.67,24.58,24.57,25.12,24.87,24.85,24.93
T2M,2019,24.15,24.97,26.83,27.86,27.93,25.64,24.4,24.88,25.07,25.05,24.89,24.63,25.52
T2M,2020,25.32,25.84,26.82,28.78,27.68,25.09,24.69,24.93,25.26,24.86,24.98,24.98,25.76
QV2M,2016,15.87,15.32,14.53,16.24,18.07,18.13,18.01,18.31,17.82,18.13,18.13,18.13,17.21
QV2M,2017,17.52,16.78,17.21,17.64,18.86,18.19,17.76,18.01,17.94,18.19,18.49,18.07,17.88
QV2M,2018,18.01,17.64,17.03,17.76,18.43,17.94,18.01,17.76,17.76,17.88,18.25,18.01,17.88
QV2M,2019,16.6,14.59,14.89,16.48,17.21,18.62,17.7,17.94,17.88,18.19,18.01,17.76,17.15
QV2M,2020,16.91,15.69,16.05,15.5,17.88,18.25,18.13,18.07,18.25,18.31,18.49,18.31,17.52
CLRSKY_KT,2016,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.68,0.69,0.69,0.69,0.69,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.7,0.7,0.69,0.68,0.69,0.69,0.68,0.7,0.69,0.69
CLRSKY_KT,2018,0.69,0.7,0.7,0.7,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.71,0.71,0.69,0.69,0.68,0.68,0.66,0.69,0.68,0.69,0.69
CLRSKY_KT,2020,0.7,0.7,0.71,0.71,0.69,0.69,0.69,0.69,0.7,0.68,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.45,5.7,6.38,6.12,5.62,5.06,5.07,5.21,5.02,4.61,4.36,4.48,5.26
ALLSKY_SFC_SW_DWN,2017,3.76,4.64,5.07,5.66,5.43,5.15,4.78,5.22,5.13,4.31,4.66,4.25,4.84
ALLSKY_SFC_SW_DWN,2018,4.37,4.94,5.63,6.07,5.47,5.01,4.73,5.17,4.87,5.45,4.69,4.4,5.07
ALLSKY_SFC_SW_DWN,2019,4.22,5.98,5.83,6.07,5.74,5.06,4.74,5.09,5.28,5.24,4.78,4.52,5.2
ALLSKY_SFC_SW_DWN,2020,5.18,5.33,6,6.33,5.41,4.93,5.09,5.17,5.31,4.59,4.72,4.48,5.21
