-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  12.9843   Longitude 123.9972 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 88.79 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.44,25.28,26.01,27.76,28.58,28.29,27.91,27.44,27.36,26.92,26.41,26.12,26.97
T2M,2017,25.18,24.74,25.6,26.99,28.13,28.11,27.26,27.63,27.51,27.1,26.73,26.35,26.79
T2M,2018,25.58,25.66,25.81,26.91,27.91,27.66,27.07,27.09,27.04,26.9,26.5,26.14,26.69
T2M,2019,24.7,24.47,25.68,27.44,29,28.5,27.54,27.15,27.21,27.21,26.67,26.19,26.83
T2M,2020,25.61,24.89,25.98,27.3,28.56,27.83,27.74,27.4,27.86,27.24,26.57,26.35,26.95
QV2M,2016,17.09,16.91,17.15,18.13,18.86,19.41,18.98,19.84,19.59,19.59,18.92,18.98,18.62
QV2M,2017,17.7,16.54,17.21,17.94,19.78,19.23,19.23,19.47,19.47,19.23,19.59,19.17,18.74
QV2M,2018,18.31,17.76,17.27,18.31,19.41,19.35,19.65,19.17,19.47,18.37,18.37,18.55,18.68
QV2M,2019,15.99,15.2,15.81,17.33,19.04,20.02,19.23,19.59,19.35,18.68,19.1,18.49,18.19
QV2M,2020,17.46,16.24,17.27,18.19,19.71,19.17,19.04,19.35,19.53,19.71,19.29,19.41,18.68
CLRSKY_KT,2016,0.7,0.7,0.71,0.71,0.7,0.69,0.69,0.67,0.68,0.69,0.69,0.68,0.7
CLRSKY_KT,2017,0.68,0.7,0.7,0.71,0.7,0.7,0.68,0.69,0.69,0.69,0.69,0.68,0.7
CLRSKY_KT,2018,0.69,0.7,0.7,0.7,0.7,0.68,0.67,0.67,0.69,0.69,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.73,0.72,0.69,0.69,0.68,0.67,0.66,0.7,0.68,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.71,0.71,0.7,0.7,0.69,0.69,0.69,0.68,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,4.94,5.02,6.45,7,6.45,5.59,5.2,5.12,5.38,4.41,4.14,4.04,5.31
ALLSKY_SFC_SW_DWN,2017,3.59,4.89,5.47,6.48,6.02,5.93,4.61,5.34,5.03,4.5,4.37,3.65,4.99
ALLSKY_SFC_SW_DWN,2018,3.61,4.79,5.61,6.44,6.29,5.05,4.94,5.14,5.2,5.43,4.73,3.78,5.08
ALLSKY_SFC_SW_DWN,2019,4.5,5.79,6.55,6.9,6.23,5.75,4.84,4.34,5.23,5.43,4.51,4.22,5.35
ALLSKY_SFC_SW_DWN,2020,4.76,5,6.43,6.72,6.21,5.58,5.47,5.07,5.06,4.31,4.22,3.85,5.22
