-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  18.46   Longitude 122.1418 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 39.15 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.01,24.15,25.37,28.5,29.48,29.5,29.03,28.56,28.46,27.85,26.72,25.75,27.37
T2M,2017,24.55,23.79,25.13,27.09,28.56,29.31,28.74,28.87,28.83,27.78,26.98,24.78,27.05
T2M,2018,24.62,24.34,25.03,27,29.37,29.15,28.69,28.3,28.14,27.09,26.48,25.93,27.03
T2M,2019,24.85,25.23,26.31,28.19,28.35,29.38,29.12,28.65,27.9,27.3,26.28,25.51,27.26
T2M,2020,24.69,24.29,26.42,27.44,29.36,29.3,28.98,28.64,28.8,28.07,26.74,25.69,27.37
QV2M,2016,16.17,15.2,16.42,18.31,19.53,20.39,19.9,20.26,19.84,19.71,18.31,17.58,18.49
QV2M,2017,15.44,14.77,15.81,17.58,19.47,20.32,20.14,20.2,20.45,19.35,19.29,16.24,18.25
QV2M,2018,16.05,15.99,15.44,17.46,19.29,20.08,19.71,19.9,19.59,18.01,17.52,17.09,18.01
QV2M,2019,15.01,14.89,16.11,18.31,19.59,20.75,20.08,20.63,19.53,18.49,18.19,17.09,18.25
QV2M,2020,15.44,14.65,16.85,17.7,19.71,20.32,20.2,19.9,20.14,19.9,18.49,18.13,18.49
CLRSKY_KT,2016,0.68,0.69,0.66,0.68,0.69,0.7,0.7,0.68,0.68,0.69,0.68,0.66,0.68
CLRSKY_KT,2017,0.69,0.69,0.69,0.69,0.69,0.7,0.69,0.69,0.7,0.68,0.68,0.66,0.69
CLRSKY_KT,2018,0.67,0.69,0.7,0.7,0.7,0.69,0.69,0.67,0.69,0.69,0.7,0.67,0.69
CLRSKY_KT,2019,0.69,0.71,0.7,0.69,0.67,0.69,0.69,0.68,0.68,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.68,0.7,0.7,0.68,0.69,0.7,0.7,0.69,0.69,0.69,0.68,0.66,0.69
ALLSKY_SFC_SW_DWN,2016,3.9,3.81,4.21,6.58,6.62,6.45,5.95,5.29,4.73,4.42,3.87,2.93,4.9
ALLSKY_SFC_SW_DWN,2017,3.22,3.45,5.01,5.91,6.01,6.57,5.36,5.46,5.72,3.91,3.43,2.56,4.72
ALLSKY_SFC_SW_DWN,2018,3.09,3.66,5.39,6.01,6.96,5.62,5.45,4.83,5.47,4.85,4.48,3.53,4.95
ALLSKY_SFC_SW_DWN,2019,3.87,5.59,5.83,6.03,5.66,6.37,5.84,4.9,4.34,4.94,2.64,3.3,4.94
ALLSKY_SFC_SW_DWN,2020,3.48,4.49,5.97,5.41,6.34,6.94,6.08,5.17,5.67,4.22,3.33,2.36,4.95
