-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  13.0736   Longitude 120.7226 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 148.63 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.46,26.16,27.46,29.38,29.62,28.13,27.51,27.02,26.74,26.91,27.04,26.83,27.44
T2M,2017,25.95,25.67,26.95,28.37,28.6,28.01,27.14,27.3,27.4,27.42,27.46,26.73,27.26
T2M,2018,26.12,26.21,26.95,28.41,29.24,27.4,26.67,26.69,26.64,27.62,27.3,26.8,27.18
T2M,2019,25.58,25.9,27.61,29.24,28.9,28.51,27.18,27.03,27,27.73,27.07,26.46,27.36
T2M,2020,26.12,25.59,27.01,28.25,29.16,28.25,27.86,27.15,27.65,27.16,27.02,26.94,27.35
QV2M,2016,17.21,16.66,17.09,17.58,18.86,19.17,19.04,19.96,19.41,19.23,18.68,18.74,18.49
QV2M,2017,17.4,16.54,16.85,17.82,19.35,19.35,19.23,19.35,19.29,19.04,19.35,18.62,18.55
QV2M,2018,17.7,17.15,16.78,17.7,18.55,19.53,19.78,19.29,18.98,18.07,18.31,18.25,18.37
QV2M,2019,16.24,15.08,15.93,16.97,18.98,20.02,19.35,19.65,19.1,18.43,18.86,18.07,18.07
QV2M,2020,17.09,16.3,17.4,18.37,19.71,19.17,19.1,19.04,19.17,19.65,19.17,18.86,18.62
CLRSKY_KT,2016,0.69,0.7,0.7,0.7,0.69,0.69,0.69,0.68,0.69,0.69,0.68,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.69,0.69,0.67,0.68,0.69,0.68,0.68,0.67,0.69
CLRSKY_KT,2018,0.67,0.7,0.69,0.7,0.7,0.68,0.67,0.67,0.69,0.69,0.69,0.68,0.69
CLRSKY_KT,2019,0.7,0.72,0.71,0.71,0.68,0.69,0.68,0.68,0.67,0.69,0.67,0.69,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.67,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,5.22,5.58,6.61,6.94,6.17,5.31,5.24,3.9,4.73,4.34,4.32,4.18,5.21
ALLSKY_SFC_SW_DWN,2017,4.36,5.57,6.22,6.69,5.99,5.77,4.23,4.91,4.9,4.53,4.63,3.94,5.14
ALLSKY_SFC_SW_DWN,2018,4.25,5.61,6.27,6.86,6.35,4.26,3.18,4.16,5,5.65,5.16,4.27,5.08
ALLSKY_SFC_SW_DWN,2019,5.08,6.24,6.75,6.99,5.81,5.48,4.65,3.88,4.38,5.82,4.33,4.52,5.32
ALLSKY_SFC_SW_DWN,2020,4.98,5.74,6.68,6.7,6.39,5.63,5.43,4.6,5.21,4.1,4.31,4.08,5.32
