-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  13.8827   Longitude 120.9532 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 162.3 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,24.58,24.08,25.94,28.37,29.27,27.99,27.4,26.54,26.58,26.28,25.39,25.07,26.46
T2M,2017,23.83,23.48,24.91,27.52,28.2,27.93,26.65,27,27.06,26.42,25.82,24.82,26.15
T2M,2018,24.2,24.55,24.9,26.88,28.07,26.81,26.08,26.12,26.37,26.12,25.46,24.81,25.87
T2M,2019,23.39,23.67,26.56,28.7,29.11,28.2,26.9,26.44,26.33,26.36,25.78,24.98,26.38
T2M,2020,24.4,23.45,25.44,26.87,28.21,27.48,27.08,26.8,27.26,26.37,25.63,25.23,26.19
QV2M,2016,16.97,16.3,16.91,17.33,18.37,18.98,18.86,19.59,19.29,19.23,18.55,18.49,18.25
QV2M,2017,16.72,15.99,16.48,17.33,19.17,19.17,19.17,19.29,19.41,19.17,19.29,18.13,18.31
QV2M,2018,17.21,16.85,16.42,17.4,18.74,19.41,19.47,18.92,18.92,18.25,17.94,17.82,18.13
QV2M,2019,15.75,14.83,15.32,16.36,18.37,19.9,19.1,19.47,18.86,18.62,18.68,17.76,17.76
QV2M,2020,16.54,15.75,17.33,18.43,19.9,19.41,19.29,19.04,19.35,19.71,18.98,18.68,18.55
CLRSKY_KT,2016,0.69,0.7,0.7,0.7,0.69,0.69,0.69,0.68,0.69,0.69,0.68,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.69,0.69,0.67,0.68,0.69,0.68,0.68,0.67,0.69
CLRSKY_KT,2018,0.67,0.7,0.69,0.7,0.7,0.68,0.67,0.67,0.69,0.69,0.69,0.68,0.69
CLRSKY_KT,2019,0.7,0.72,0.71,0.71,0.68,0.69,0.68,0.68,0.67,0.69,0.67,0.69,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.67,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,5.22,5.58,6.61,6.94,6.17,5.31,5.24,3.9,4.73,4.34,4.32,4.18,5.21
ALLSKY_SFC_SW_DWN,2017,4.36,5.57,6.22,6.69,5.99,5.77,4.23,4.91,4.9,4.53,4.63,3.94,5.14
ALLSKY_SFC_SW_DWN,2018,4.25,5.61,6.27,6.86,6.35,4.26,3.18,4.16,5,5.65,5.16,4.27,5.08
ALLSKY_SFC_SW_DWN,2019,5.08,6.24,6.75,6.99,5.81,5.48,4.65,3.88,4.38,5.82,4.33,4.52,5.32
ALLSKY_SFC_SW_DWN,2020,4.98,5.74,6.68,6.7,6.39,5.63,5.43,4.6,5.21,4.1,4.31,4.08,5.32
