-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  13.3568   Longitude 123.7 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 99.85 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.88,25.58,26.23,27.85,28.76,28.63,28.1,27.8,27.72,27.31,26.89,26.58,27.28
T2M,2017,25.65,25.03,25.86,27.06,28.42,28.44,27.64,27.91,27.85,27.48,27.32,26.79,27.13
T2M,2018,26.02,26.05,26.16,27.18,28.14,27.96,27.52,27.41,27.4,27.15,26.99,26.62,27.05
T2M,2019,25.25,24.99,26.18,27.66,29.36,28.8,27.87,27.55,27.46,27.44,27.18,26.67,27.21
T2M,2020,26.06,25.31,26.33,27.41,28.57,27.96,27.83,27.73,28.07,27.64,27.14,26.89,27.25
QV2M,2016,17.21,16.97,17.4,18.37,18.98,19.47,19.17,19.96,19.53,19.59,18.92,18.98,18.74
QV2M,2017,17.7,16.6,17.33,18.07,19.78,19.35,19.17,19.59,19.41,19.29,19.59,19.29,18.8
QV2M,2018,18.25,17.76,17.33,18.43,19.53,19.47,19.71,19.29,19.35,18.43,18.49,18.62,18.74
QV2M,2019,16.17,15.26,15.93,17.46,18.98,20.08,19.17,19.71,19.41,18.74,19.04,18.62,18.25
QV2M,2020,17.4,16.3,17.46,18.37,19.96,19.41,19.23,19.29,19.47,19.65,19.29,19.35,18.8
CLRSKY_KT,2016,0.7,0.7,0.71,0.71,0.7,0.7,0.7,0.68,0.69,0.69,0.7,0.68,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.71,0.7,0.7,0.69,0.7,0.7,0.69,0.7,0.68,0.7
CLRSKY_KT,2018,0.69,0.7,0.7,0.71,0.71,0.68,0.68,0.67,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.7,0.73,0.73,0.73,0.7,0.7,0.69,0.67,0.68,0.7,0.69,0.69,0.7
CLRSKY_KT,2020,0.7,0.71,0.72,0.71,0.7,0.7,0.7,0.69,0.7,0.69,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,4.53,4.75,5.9,6.46,6.03,5.3,5.02,5.03,5.22,4.11,3.82,3.48,4.97
ALLSKY_SFC_SW_DWN,2017,3.15,4.83,5.32,5.96,5.92,5.82,4.43,5.21,4.8,4.21,4.07,3.28,4.75
ALLSKY_SFC_SW_DWN,2018,3.33,4.44,5.23,5.96,5.84,4.92,5,4.9,4.98,4.98,4.93,3.66,4.85
ALLSKY_SFC_SW_DWN,2019,4.22,5.67,6.11,6.81,6.02,5.76,4.91,4.27,4.9,5.03,4.19,4.06,5.16
ALLSKY_SFC_SW_DWN,2020,4.13,5.06,6.17,6.4,6.28,5.66,5.2,4.76,5.06,4.21,3.88,3.5,5.02
