-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  11.2698   Longitude 124.9643 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 123.45 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.73,25.71,26.26,28.02,28.52,28.03,27.36,27.46,27.17,26.84,26.44,26.37,27
T2M,2017,25.61,24.96,25.83,26.99,27.88,27.6,26.87,27.34,27.21,26.98,26.95,26.48,26.73
T2M,2018,26.05,25.89,26.17,26.89,27.61,27.3,27.19,27.05,26.98,26.96,26.6,26.28,26.75
T2M,2019,24.97,24.69,25.73,27.38,29.08,28.16,27.4,27.25,27.39,27.21,26.85,26.37,26.89
T2M,2020,25.97,25.24,26.11,27.48,28.15,27.36,27.08,27.27,27.69,27.02,26.65,26.55,26.88
QV2M,2016,17.15,17.15,16.97,17.82,18.74,18.74,18.62,19.41,18.92,19.23,18.74,18.98,18.37
QV2M,2017,18.25,17.03,17.88,18.43,19.78,18.92,18.98,18.98,18.98,18.98,19.35,19.1,18.74
QV2M,2018,18.74,18.13,17.58,18.43,19.29,18.98,19.29,18.86,19.04,18.43,18.55,18.8,18.68
QV2M,2019,16.6,15.5,15.81,17.4,18.62,19.53,18.68,19.1,18.86,18.68,18.98,18.43,18.01
QV2M,2020,17.76,16.66,17.15,18.07,19.59,18.98,18.74,18.92,19.04,19.35,19.23,19.35,18.55
CLRSKY_KT,2016,0.7,0.7,0.72,0.71,0.7,0.7,0.7,0.68,0.69,0.69,0.7,0.68,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.71,0.7,0.7,0.69,0.69,0.69,0.69,0.7,0.69,0.7
CLRSKY_KT,2018,0.69,0.7,0.71,0.71,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.7,0.72,0.73,0.72,0.7,0.69,0.69,0.67,0.66,0.7,0.69,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.72,0.71,0.7,0.7,0.7,0.69,0.7,0.68,0.69,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,5.19,5.13,6.64,6.8,6.29,5.38,5.27,5.04,5.23,4.44,4.24,4.09,5.31
ALLSKY_SFC_SW_DWN,2017,3.62,4.52,4.9,6.11,5.85,5.61,4.46,5.21,4.98,4.37,4.45,3.94,4.83
ALLSKY_SFC_SW_DWN,2018,3.55,4.62,5.68,6.24,6.03,5.06,5.05,5.07,5.09,5.61,4.53,3.81,5.03
ALLSKY_SFC_SW_DWN,2019,4.49,5.67,6.4,6.59,6.23,5.5,5.07,4.66,5.19,5.57,4.5,4.42,5.35
ALLSKY_SFC_SW_DWN,2020,4.79,5.09,6.47,6.27,6.12,5.26,5.24,5.14,5.23,4.28,4.12,3.81,5.15
