-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  14.0993   Longitude 120.9386 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 162.3 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,24.58,24.08,25.94,28.37,29.27,27.99,27.4,26.54,26.58,26.28,25.39,25.07,26.46
T2M,2017,23.83,23.48,24.91,27.52,28.2,27.93,26.65,27,27.06,26.42,25.82,24.82,26.15
T2M,2018,24.2,24.55,24.9,26.88,28.07,26.81,26.08,26.12,26.37,26.12,25.46,24.81,25.87
T2M,2019,23.39,23.67,26.56,28.7,29.11,28.2,26.9,26.44,26.33,26.36,25.78,24.98,26.38
T2M,2020,24.4,23.45,25.44,26.87,28.21,27.48,27.08,26.8,27.26,26.37,25.63,25.23,26.19
QV2M,2016,16.97,16.3,16.91,17.33,18.37,18.98,18.86,19.59,19.29,19.23,18.55,18.49,18.25
QV2M,2017,16.72,15.99,16.48,17.33,19.17,19.17,19.17,19.29,19.41,19.17,19.29,18.13,18.31
QV2M,2018,17.21,16.85,16.42,17.4,18.74,19.41,19.47,18.92,18.92,18.25,17.94,17.82,18.13
QV2M,2019,15.75,14.83,15.32,16.36,18.37,19.9,19.1,19.47,18.86,18.62,18.68,17.76,17.76
QV2M,2020,16.54,15.75,17.33,18.43,19.9,19.41,19.29,19.04,19.35,19.71,18.98,18.68,18.55
CLRSKY_KT,2016,0.69,0.7,0.7,0.7,0.69,0.68,0.68,0.68,0.69,0.68,0.68,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.69,0.69,0.67,0.68,0.69,0.68,0.68,0.67,0.68
CLRSKY_KT,2018,0.67,0.7,0.69,0.7,0.7,0.67,0.67,0.67,0.69,0.69,0.69,0.68,0.68
CLRSKY_KT,2019,0.7,0.71,0.7,0.7,0.68,0.69,0.68,0.67,0.67,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.69,0.69,0.68,0.69,0.68,0.69,0.67,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,5.1,5.29,6.42,6.92,6.16,5.49,5.2,3.88,4.64,4.49,4.44,4.09,5.17
ALLSKY_SFC_SW_DWN,2017,4.26,5.31,6.24,6.65,6,5.9,4.38,5.15,4.95,4.4,4.43,4.02,5.14
ALLSKY_SFC_SW_DWN,2018,4.33,5.65,6.27,6.75,6.52,4.28,3.54,3.88,5.17,5.67,5.09,3.94,5.08
ALLSKY_SFC_SW_DWN,2019,4.87,6,6.73,6.86,5.88,5.71,4.78,3.79,4.39,5.7,4.27,4.43,5.28
ALLSKY_SFC_SW_DWN,2020,4.85,5.55,6.67,6.57,6.37,5.89,5.58,4.66,5.6,4.13,4.3,4.04,5.35
