-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  7.4496   Longitude 125.8055 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 184.24 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,24.81,25.13,25.48,26.71,27.33,27.2,27.03,26.68,26.77,26.72,25.69,26.04,26.3
T2M,2017,25.13,24.68,25.36,26.66,27.17,27.08,26.26,26.64,26.8,26.41,25.9,25.73,26.16
T2M,2018,24.91,25.64,25.7,26.7,27.52,26.58,26.24,26.14,26.44,27.06,25.65,25.64,26.19
T2M,2019,24.58,23.75,24.87,26.25,28.11,27.36,26.09,26.28,26.62,27.23,26.69,25.75,26.14
T2M,2020,25.56,24.8,25.44,26.3,27.8,27.05,26.66,26.54,27.25,26.58,26.25,26.01,26.36
QV2M,2016,16.54,16.78,16.48,17.52,18.62,18.31,17.82,17.88,17.94,18.25,18.19,18.37,17.7
QV2M,2017,18.19,17.27,17.7,18.01,18.86,18.13,17.76,18.19,18.25,18.31,18.49,18.07,18.13
QV2M,2018,18.01,17.82,17.03,18.19,18.55,18.13,18.25,18.01,17.82,17.88,18.01,18.19,18.01
QV2M,2019,17.21,15.44,16.36,17.52,18.74,18.86,17.94,18.01,17.82,18.07,18.01,17.88,17.7
QV2M,2020,17.7,16.78,17.03,17.33,18.98,18.31,17.88,18.07,18.13,18.37,18.37,18.31,17.94
CLRSKY_KT,2016,0.72,0.71,0.73,0.72,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2017,0.7,0.7,0.7,0.71,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.7
CLRSKY_KT,2018,0.7,0.71,0.71,0.71,0.7,0.7,0.69,0.69,0.7,0.7,0.7,0.7,0.7
CLRSKY_KT,2019,0.7,0.73,0.72,0.72,0.7,0.7,0.7,0.7,0.68,0.7,0.7,0.7,0.7
CLRSKY_KT,2020,0.71,0.71,0.72,0.73,0.7,0.7,0.7,0.7,0.71,0.69,0.7,0.7,0.7
ALLSKY_SFC_SW_DWN,2016,5.5,5.42,6.43,6.14,5.34,5.26,5.22,5.41,5.29,4.96,4.52,4.17,5.3
ALLSKY_SFC_SW_DWN,2017,3.76,4.36,4.67,5.74,5.25,5.13,5.09,5.34,5.12,4.63,4.34,4.61,4.84
ALLSKY_SFC_SW_DWN,2018,4.23,5.18,5.47,5.84,5.65,5.46,5.26,5.12,5.23,5.77,4.69,4.67,5.21
ALLSKY_SFC_SW_DWN,2019,4.06,5.8,5.65,5.79,5.5,5.07,4.74,5.5,5.67,5.48,5.26,4.59,5.25
ALLSKY_SFC_SW_DWN,2020,4.91,4.81,5.87,6.14,5.14,5.02,5.19,5.15,5.38,4.79,4.71,4.56,5.14
