-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  8.9948   Longitude 124.8829 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.66 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.37,25.4,25.94,27.43,27.62,27.32,27.04,27.17,26.52,26.53,26.19,26.32,26.58
T2M,2017,25.47,24.84,25.44,26.53,27.33,27.26,26.75,27.04,26.94,26.76,26.73,26.32,26.46
T2M,2018,25.8,25.75,25.96,26.72,27.36,26.98,26.84,26.86,26.68,26.9,26.42,25.98,26.52
T2M,2019,25,24.38,25.19,26.46,28.08,27.6,26.82,27.04,27.26,27.07,26.89,26.23,26.51
T2M,2020,25.76,25.37,25.9,26.95,28.05,27.25,27.05,26.95,27.26,26.76,26.7,26.41,26.71
QV2M,2016,17.27,17.4,17.03,17.76,18.86,18.31,17.88,18.55,18.49,18.55,18.49,18.62,18.13
QV2M,2017,18.43,17.52,17.88,18.37,19.35,18.31,18.07,18.37,18.43,18.62,19.1,18.49,18.43
QV2M,2018,18.55,18.19,17.7,18.43,18.55,18.37,18.55,18.07,18.43,18.25,18.74,18.8,18.37
QV2M,2019,17.46,15.93,16.72,17.94,18.25,18.98,18.07,18.25,18.13,18.55,18.43,18.37,17.94
QV2M,2020,18.01,17.15,17.4,17.82,19.17,18.37,18.31,18.13,18.49,18.55,18.8,18.8,18.25
CLRSKY_KT,2016,0.71,0.71,0.72,0.71,0.7,0.69,0.7,0.69,0.69,0.7,0.7,0.69,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.69,0.7,0.7,0.7
CLRSKY_KT,2018,0.7,0.7,0.71,0.71,0.7,0.69,0.68,0.68,0.7,0.7,0.7,0.7,0.7
CLRSKY_KT,2019,0.7,0.73,0.72,0.72,0.7,0.7,0.69,0.69,0.67,0.7,0.69,0.7,0.7
CLRSKY_KT,2020,0.7,0.71,0.72,0.72,0.7,0.7,0.7,0.7,0.7,0.68,0.7,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,5.69,5.59,6.42,6.28,5.74,5.09,5.33,5.41,5.18,4.83,4.39,4.51,5.37
ALLSKY_SFC_SW_DWN,2017,3.72,4.32,4.89,5.84,5.48,5.28,5,5.35,5.23,4.62,4.72,4.34,4.9
ALLSKY_SFC_SW_DWN,2018,4.32,5.01,5.55,6.2,5.78,5.11,5.04,5.15,5.18,5.76,4.8,4.48,5.2
ALLSKY_SFC_SW_DWN,2019,4.17,6.04,5.89,6.14,5.99,5.34,4.78,5.26,5.42,5.58,5.03,4.54,5.34
ALLSKY_SFC_SW_DWN,2020,5.23,5.31,6.07,6.29,5.44,5.14,5.18,5.33,5.38,4.65,4.8,4.44,5.27
