-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  6.6213   Longitude 124.7479 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 335.46 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.03,26.76,27.81,28.56,27.15,25.95,25.51,25.5,25.23,25.31,25.08,25.05,26.16
T2M,2017,24.33,24.15,24.65,25.67,25.73,25.29,24.81,25.05,25.17,25.15,25.08,25.01,25.01
T2M,2018,24.4,24.88,25.39,25.87,26.05,25.19,25,24.83,24.83,25.47,25.28,25.26,25.21
T2M,2019,24.48,24.69,26.3,27.37,27.09,25.94,24.8,25.07,25.38,25.63,25.55,25.29,25.63
T2M,2020,25.46,25.78,26.97,28.01,27.79,25.62,25.15,25.37,25.64,25.35,25.37,25.06,25.97
QV2M,2016,15.14,15.2,14.71,15.69,17.64,17.58,17.21,16.97,17.27,17.7,17.76,17.58,16.72
QV2M,2017,17.4,16.72,17.21,17.7,18.31,17.76,17.21,17.64,17.58,17.82,17.76,17.64,17.58
QV2M,2018,17.27,17.33,16.54,17.64,18.19,17.52,17.33,17.33,17.09,17.58,17.52,17.52,17.4
QV2M,2019,16.48,14.65,15.44,16.42,17.52,18.25,17.21,17.21,16.91,17.64,17.27,17.15,16.85
QV2M,2020,16.91,15.69,15.62,15.56,17.4,17.82,17.27,17.33,17.52,17.64,17.76,17.64,17.03
CLRSKY_KT,2016,0.72,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
CLRSKY_KT,2017,0.7,0.71,0.71,0.7,0.7,0.7,0.69,0.7,0.7,0.69,0.7,0.7,0.7
CLRSKY_KT,2018,0.7,0.71,0.72,0.7,0.7,0.7,0.69,0.69,0.7,0.7,0.71,0.7,0.7
CLRSKY_KT,2019,0.7,0.73,0.72,0.71,0.7,0.7,0.7,0.7,0.68,0.7,0.7,0.7,0.7
CLRSKY_KT,2020,0.71,0.71,0.72,0.72,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.7
ALLSKY_SFC_SW_DWN,2016,5.61,5.63,6.11,6.01,5.11,4.88,5.2,5.15,4.95,4.95,4.9,4.5,5.25
ALLSKY_SFC_SW_DWN,2017,4.28,5.18,4.99,5.7,4.89,4.74,4.77,4.77,4.86,4.6,4.55,4.59,4.82
ALLSKY_SFC_SW_DWN,2018,4.42,5.4,6.04,5.3,5.48,5.02,4.98,5.04,5.06,5.66,5.35,4.92,5.22
ALLSKY_SFC_SW_DWN,2019,4.49,5.98,5.63,5.85,5.45,4.87,4.55,5.39,5.69,5.51,5.38,5.06,5.31
ALLSKY_SFC_SW_DWN,2020,4.95,5.5,5.94,6.16,4.96,4.78,5.01,5.06,5.22,4.6,5.13,4.75,5.17
