-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  14.0276   Longitude 121.5912 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 47.78 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.86,25.42,26.69,28.94,29.78,29.1,28.4,27.89,27.87,27.37,26.83,26.37,27.55
T2M,2017,25.33,24.84,26.06,27.96,29.14,28.94,27.89,28.11,28.14,27.55,27.17,26.21,27.29
T2M,2018,25.48,25.66,26.08,27.55,28.92,28.17,27.5,27.51,27.56,27.47,27.05,26.4,27.12
T2M,2019,25.26,25.48,27.15,29.22,29.92,29.33,28.3,27.8,27.57,27.57,27.12,26.43,27.61
T2M,2020,25.88,25.05,26.5,27.72,28.95,28.58,28.23,27.96,28.2,27.63,26.97,26.51,27.36
QV2M,2016,17.58,16.97,17.64,18.31,19.23,19.59,19.35,20.26,19.9,19.9,19.41,19.29,18.98
QV2M,2017,17.46,16.6,17.21,18.19,19.9,19.78,19.65,19.9,19.96,19.9,20.08,19.04,18.98
QV2M,2018,18.07,17.7,17.15,18.31,19.53,20.02,20.08,19.59,19.65,18.92,18.68,18.74,18.86
QV2M,2019,16.36,15.38,16.24,17.52,19.29,20.45,19.65,20.26,19.59,19.23,19.41,18.62,18.49
QV2M,2020,17.33,16.42,17.94,18.86,20.51,19.84,19.71,19.65,19.84,20.39,19.71,19.53,19.17
CLRSKY_KT,2016,0.69,0.7,0.7,0.71,0.7,0.69,0.69,0.68,0.69,0.69,0.69,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.7,0.7,0.68,0.69,0.69,0.68,0.69,0.67,0.69
CLRSKY_KT,2018,0.67,0.7,0.7,0.71,0.7,0.68,0.67,0.67,0.69,0.69,0.7,0.68,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.72,0.69,0.69,0.68,0.67,0.67,0.69,0.67,0.68,0.7
CLRSKY_KT,2020,0.69,0.7,0.71,0.7,0.7,0.7,0.7,0.68,0.69,0.67,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,4.24,4.4,5.43,6.46,5.74,5.21,5.09,4.18,4.73,4.17,3.67,3.2,4.71
ALLSKY_SFC_SW_DWN,2017,3.3,4.18,5.31,5.83,5.8,5.73,4.22,5.09,4.58,3.67,3.63,2.92,4.52
ALLSKY_SFC_SW_DWN,2018,3.4,4.56,5.23,6.02,5.86,4.54,4.24,4.18,4.78,5.05,4.32,3.12,4.61
ALLSKY_SFC_SW_DWN,2019,3.98,5.28,6.06,6.49,5.74,5.65,4.93,4.06,4.31,4.76,3.77,3.72,4.89
ALLSKY_SFC_SW_DWN,2020,3.97,4.4,5.95,5.87,5.86,5.6,5.26,4.59,5.12,3.6,3.56,3.31,4.76
