-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  17.6477   Longitude 121.7584 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 268.37 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,22.96,22.99,25.66,29.44,28.77,27.25,26.8,26.44,26.36,25.41,24.29,23.63,25.83
T2M,2017,22.03,21.53,23.99,26.73,27.61,27.04,26.13,26.55,26.54,25.01,24.76,22.67,25.07
T2M,2018,22.5,23.07,24.15,27.25,29.3,27.23,26.55,26,25.8,24.87,24.53,24.35,25.48
T2M,2019,22.73,23.83,26.37,28.14,27.05,27.32,26.77,26.65,25.62,24.9,24.08,23.23,25.57
T2M,2020,22.27,22.22,25.93,27.59,28.92,26.7,26.16,26.29,26.39,25.58,24.37,23.86,25.53
QV2M,2016,15.14,14.16,14.95,15.26,17.33,19.1,18.62,19.23,18.92,18.68,17.33,17.03,17.15
QV2M,2017,14.83,14.28,15.01,15.99,18.13,19.35,18.8,19.35,19.41,18.37,18.25,15.87,17.33
QV2M,2018,15.38,15.14,13.98,15.56,16.72,18.86,18.86,19.17,18.68,17.21,16.24,15.81,16.78
QV2M,2019,13.73,12.88,13.67,15.93,18.8,19.71,19.1,19.53,18.55,17.64,17.52,16.36,16.97
QV2M,2020,14.71,13.37,15.2,15.62,17.94,19.41,19.04,18.86,19.17,19.04,17.76,17.58,17.33
CLRSKY_KT,2016,0.7,0.7,0.68,0.7,0.7,0.7,0.71,0.7,0.7,0.7,0.7,0.68,0.7
CLRSKY_KT,2017,0.7,0.7,0.7,0.7,0.7,0.71,0.7,0.7,0.7,0.7,0.7,0.68,0.7
CLRSKY_KT,2018,0.69,0.7,0.71,0.71,0.72,0.7,0.7,0.69,0.7,0.7,0.71,0.69,0.7
CLRSKY_KT,2019,0.7,0.73,0.71,0.7,0.69,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7
CLRSKY_KT,2020,0.7,0.71,0.71,0.7,0.7,0.71,0.71,0.7,0.7,0.7,0.7,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,4.28,4.06,4.9,6.39,6.11,6.27,5.9,4.84,4.98,4.43,3.66,3.11,4.91
ALLSKY_SFC_SW_DWN,2017,3.68,3.8,5.29,5.92,5.76,6.56,5.38,5.25,5.34,3.77,3.26,2.73,4.73
ALLSKY_SFC_SW_DWN,2018,3.3,4.26,5.42,5.97,6.73,5.22,5.36,4.51,5.27,4.67,4.63,3.53,4.91
ALLSKY_SFC_SW_DWN,2019,4.02,5.84,6.03,6.15,5.67,6.34,5.61,4.74,4.44,4.58,2.8,3.39,4.96
ALLSKY_SFC_SW_DWN,2020,3.84,4.4,6.16,5.62,6.04,6.68,6.1,5.26,5.78,3.16,3.16,2.83,4.92
