-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  14.1545   Longitude 121.2359 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 162.3 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,24.58,24.08,25.94,28.37,29.27,27.99,27.4,26.54,26.58,26.28,25.39,25.07,26.46
T2M,2017,23.83,23.48,24.91,27.52,28.2,27.93,26.65,27,27.06,26.42,25.82,24.82,26.15
T2M,2018,24.2,24.55,24.9,26.88,28.07,26.81,26.08,26.12,26.37,26.12,25.46,24.81,25.87
T2M,2019,23.39,23.67,26.56,28.7,29.11,28.2,26.9,26.44,26.33,26.36,25.78,24.98,26.38
T2M,2020,24.4,23.45,25.44,26.87,28.21,27.48,27.08,26.8,27.26,26.37,25.63,25.23,26.19
QV2M,2016,16.97,16.3,16.91,17.33,18.37,18.98,18.86,19.59,19.29,19.23,18.55,18.49,18.25
QV2M,2017,16.72,15.99,16.48,17.33,19.17,19.17,19.17,19.29,19.41,19.17,19.29,18.13,18.31
QV2M,2018,17.21,16.85,16.42,17.4,18.74,19.41,19.47,18.92,18.92,18.25,17.94,17.82,18.13
QV2M,2019,15.75,14.83,15.32,16.36,18.37,19.9,19.1,19.47,18.86,18.62,18.68,17.76,17.76
QV2M,2020,16.54,15.75,17.33,18.43,19.9,19.41,19.29,19.04,19.35,19.71,18.98,18.68,18.55
CLRSKY_KT,2016,0.69,0.7,0.7,0.71,0.7,0.69,0.69,0.68,0.69,0.69,0.69,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.7,0.7,0.68,0.69,0.69,0.68,0.69,0.67,0.69
CLRSKY_KT,2018,0.67,0.7,0.7,0.71,0.7,0.68,0.67,0.67,0.69,0.69,0.7,0.68,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.72,0.69,0.69,0.68,0.67,0.67,0.69,0.67,0.68,0.7
CLRSKY_KT,2020,0.69,0.7,0.71,0.7,0.7,0.7,0.7,0.68,0.69,0.67,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,4.24,4.4,5.43,6.46,5.74,5.21,5.09,4.18,4.73,4.17,3.67,3.2,4.71
ALLSKY_SFC_SW_DWN,2017,3.3,4.18,5.31,5.83,5.8,5.73,4.22,5.09,4.58,3.67,3.63,2.92,4.52
ALLSKY_SFC_SW_DWN,2018,3.4,4.56,5.23,6.02,5.86,4.54,4.24,4.18,4.78,5.05,4.32,3.12,4.61
ALLSKY_SFC_SW_DWN,2019,3.98,5.28,6.06,6.49,5.74,5.65,4.93,4.06,4.31,4.76,3.77,3.72,4.89
ALLSKY_SFC_SW_DWN,2020,3.97,4.4,5.95,5.87,5.86,5.6,5.26,4.59,5.12,3.6,3.56,3.31,4.76
