-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  7.9062   Longitude 125.0938 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 889.49 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,20.69,21.23,22.61,23.73,23.36,22.58,22.26,22.21,22.12,22,21.58,21.61,22.17
T2M,2017,20.94,20.51,21.15,22.18,22.76,22.3,21.71,22.18,22.3,21.97,21.67,21.5,21.77
T2M,2018,20.87,21.4,21.21,22.46,22.81,22.09,22.05,21.63,22.01,22.27,21.54,21.48,21.82
T2M,2019,20.68,19.85,21.18,22.48,23.48,22.89,21.97,21.94,22.31,22.42,22.11,21.28,21.89
T2M,2020,21.51,20.93,21.7,22.95,23.8,22.5,22.19,22.31,22.58,22.19,21.77,21.66,22.18
QV2M,2016,14.65,14.95,14.47,14.95,16.42,16.36,15.69,15.69,16.05,16.11,16.11,16.05,15.62
QV2M,2017,15.81,15.08,15.56,16.11,16.91,16.24,15.62,16.17,16.3,16.11,16.24,15.81,15.99
QV2M,2018,15.69,15.69,15.08,16.11,16.54,15.87,15.93,15.56,15.93,16.11,15.93,15.93,15.87
QV2M,2019,15.14,13.73,14.65,15.75,16.6,16.72,15.81,15.56,15.44,16.17,15.75,15.56,15.56
QV2M,2020,15.56,14.83,14.95,14.89,16.72,16.24,15.93,15.93,16.24,16.36,16.05,16.11,15.81
CLRSKY_KT,2016,0.72,0.71,0.73,0.72,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2017,0.7,0.7,0.7,0.71,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.7
CLRSKY_KT,2018,0.7,0.71,0.71,0.71,0.7,0.7,0.69,0.69,0.7,0.7,0.7,0.7,0.7
CLRSKY_KT,2019,0.7,0.73,0.72,0.72,0.7,0.7,0.7,0.7,0.68,0.7,0.7,0.7,0.7
CLRSKY_KT,2020,0.71,0.71,0.72,0.73,0.7,0.7,0.7,0.7,0.71,0.69,0.7,0.7,0.7
ALLSKY_SFC_SW_DWN,2016,5.5,5.42,6.43,6.14,5.34,5.26,5.22,5.41,5.29,4.96,4.52,4.17,5.3
ALLSKY_SFC_SW_DWN,2017,3.76,4.36,4.67,5.74,5.25,5.13,5.09,5.34,5.12,4.63,4.34,4.61,4.84
ALLSKY_SFC_SW_DWN,2018,4.23,5.18,5.47,5.84,5.65,5.46,5.26,5.12,5.23,5.77,4.69,4.67,5.21
ALLSKY_SFC_SW_DWN,2019,4.06,5.8,5.65,5.79,5.5,5.07,4.74,5.5,5.67,5.48,5.26,4.59,5.25
ALLSKY_SFC_SW_DWN,2020,4.91,4.81,5.87,6.14,5.14,5.02,5.19,5.15,5.38,4.79,4.71,4.56,5.14
