-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  13.5798   Longitude 124.2128 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 64.45 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.41,26.09,26.58,28.08,28.73,28.9,28.41,28.36,28.15,27.73,27.54,27.16,27.69
T2M,2017,26.35,25.65,26.27,27.32,28.65,28.65,28.02,28.31,28.24,28.02,27.88,27.44,27.58
T2M,2018,26.73,26.64,26.8,27.55,28.48,28.39,28.1,27.98,27.87,27.62,27.57,27.22,27.58
T2M,2019,25.92,25.55,26.3,27.45,29.05,29.05,28.25,28.13,28.01,27.92,27.82,27.29,27.58
T2M,2020,26.69,25.91,26.73,27.72,28.75,28.31,28.08,28.21,28.4,28.09,27.76,27.54,27.69
QV2M,2016,17.46,17.27,17.58,18.68,19.59,19.96,19.59,20.39,19.9,19.9,19.17,19.29,19.04
QV2M,2017,18.07,16.97,17.64,18.37,20.14,19.84,19.53,19.96,19.65,19.59,19.9,19.59,19.1
QV2M,2018,18.62,18.19,17.76,18.8,19.9,19.78,20.08,19.71,19.78,18.8,18.8,19.04,19.1
QV2M,2019,16.48,15.56,16.42,18.13,19.71,20.51,19.53,20.2,19.84,19.04,19.53,18.98,18.68
QV2M,2020,17.76,16.72,17.76,18.68,20.2,19.71,19.59,19.59,19.84,19.96,19.59,19.71,19.1
CLRSKY_KT,2016,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.67,0.69,0.69,0.7,0.68,0.7
CLRSKY_KT,2017,0.68,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.68,0.7
CLRSKY_KT,2018,0.68,0.7,0.7,0.71,0.7,0.68,0.67,0.66,0.69,0.7,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.72,0.69,0.69,0.69,0.67,0.67,0.7,0.68,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.68,0.7,0.69,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,4.71,4.93,6.1,6.73,6.57,5.49,5.35,5.03,5.6,4.41,4.13,3.67,5.23
ALLSKY_SFC_SW_DWN,2017,3.34,4.6,5.29,6.43,6.29,6.02,4.05,5.45,5.04,4.37,4.37,3.44,4.89
ALLSKY_SFC_SW_DWN,2018,3.5,4.51,5.37,6.18,6.38,5,5.29,5.16,5.29,5.24,4.98,3.86,5.06
ALLSKY_SFC_SW_DWN,2019,4.27,5.88,6.53,6.69,6.36,6.02,5.19,4.49,5.08,5.37,4.34,4.14,5.36
ALLSKY_SFC_SW_DWN,2020,4.39,5.14,6.12,6.43,6.4,5.85,5.53,4.85,5.35,4.48,4.11,3.47,5.17
