-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  6.9231   Longitude 122.0725 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 58.58 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.88,27.88,28.04,28.63,28.77,27.85,27.66,27.64,27.31,27.28,27.8,27.69,27.87
T2M,2017,27.26,26.85,27.06,27.87,28.26,27.58,27.27,27.55,27.71,27.83,28.09,27.75,27.59
T2M,2018,27.2,27.1,27.57,27.9,28.42,27.9,27.47,27.48,27.48,27.9,28.03,27.87,27.69
T2M,2019,27.31,27.21,27.58,28.26,28.89,28.27,27.37,27.79,27.91,27.94,27.98,28.09,27.89
T2M,2020,27.93,27.86,27.98,28.87,28.86,27.84,27.67,27.72,27.9,27.54,27.94,27.75,27.98
QV2M,2016,18.01,17.94,18.01,18.43,19.29,18.68,18.74,19.35,18.55,18.98,19.1,18.92,18.68
QV2M,2017,18.74,18.07,18.37,18.62,19.29,18.8,18.62,18.74,18.55,19.1,19.29,19.1,18.8
QV2M,2018,18.86,18.62,18.37,18.86,18.98,18.86,18.98,18.92,18.74,18.8,19.04,19.04,18.86
QV2M,2019,17.88,16.85,17.76,18.68,18.68,19.29,18.37,19.04,18.74,18.37,18.86,18.49,18.43
QV2M,2020,18.49,17.94,18.25,18.37,19.17,18.86,18.68,18.8,18.86,19.1,19.35,19.1,18.74
CLRSKY_KT,2016,0.69,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.68
CLRSKY_KT,2017,0.68,0.69,0.69,0.69,0.69,0.69,0.67,0.69,0.69,0.68,0.68,0.67,0.68
CLRSKY_KT,2018,0.68,0.69,0.7,0.69,0.68,0.68,0.66,0.67,0.68,0.69,0.69,0.68,0.68
CLRSKY_KT,2019,0.68,0.7,0.7,0.69,0.69,0.68,0.68,0.68,0.66,0.68,0.68,0.68,0.68
CLRSKY_KT,2020,0.69,0.7,0.7,0.7,0.68,0.68,0.68,0.69,0.69,0.67,0.68,0.67,0.68
ALLSKY_SFC_SW_DWN,2016,5.89,5.77,6.14,5.85,5.56,4.91,5.19,5.2,5.03,4.95,4.99,4.97,5.37
ALLSKY_SFC_SW_DWN,2017,4.71,5.52,5.35,5.87,5.13,4.92,4.56,5.11,5.12,4.62,5.09,4.63,5.05
ALLSKY_SFC_SW_DWN,2018,4.83,5.65,5.85,5.79,5.23,4.96,4.86,5,5.31,5.88,5.5,5.25,5.34
ALLSKY_SFC_SW_DWN,2019,5.18,6.16,5.81,5.68,5.77,5.01,4.81,5.6,5.48,5.34,5.53,5.26,5.46
ALLSKY_SFC_SW_DWN,2020,5.4,6.04,6.03,6.24,5.43,4.84,4.9,5.24,5.38,4.62,5.14,4.82,5.34
