-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  9.5891   Longitude 123.1213 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 244.99 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.05,26.68,28.05,29.41,28.91,27.48,26.76,26.34,26.04,26.12,25.94,26.06,26.98
T2M,2017,25.12,24.76,25.82,27.12,27.32,27,26.22,26.24,26.32,26.3,26.39,26.12,26.23
T2M,2018,25.4,25.48,26.17,27.21,27.68,26.78,26.17,26.04,26.02,26.88,26.3,26.01,26.35
T2M,2019,25.01,25.01,26.26,27.61,28.68,27.8,26.19,26.12,26.33,26.63,26.06,26,26.48
T2M,2020,26.08,25.73,26.87,28.48,28.99,27.23,26.36,26.31,26.89,26.22,26.19,26.11,26.79
QV2M,2016,16.48,16.3,15.5,15.99,17.52,18.01,17.82,18.43,18.07,18.43,18.19,18.37,17.4
QV2M,2017,17.82,16.85,17.4,17.88,18.92,18.19,17.88,18.19,18.19,18.43,18.86,18.43,18.13
QV2M,2018,18.37,17.7,17.33,18.01,18.31,17.88,18.19,17.88,18.13,18.07,18.31,18.25,18.01
QV2M,2019,16.72,15.44,15.81,16.85,17.82,18.43,18.01,18.31,18.25,18.37,18.19,17.94,17.52
QV2M,2020,17.46,16.36,16.6,16.48,18.01,17.82,18.13,18.25,18.49,18.55,18.68,18.68,17.82
CLRSKY_KT,2016,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.68,0.69,0.69,0.69,0.68,0.7
CLRSKY_KT,2017,0.68,0.7,0.7,0.7,0.7,0.69,0.68,0.69,0.69,0.68,0.7,0.68,0.69
CLRSKY_KT,2018,0.69,0.7,0.7,0.7,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.71,0.69,0.69,0.68,0.68,0.66,0.69,0.68,0.69,0.69
CLRSKY_KT,2020,0.7,0.7,0.71,0.71,0.69,0.69,0.69,0.69,0.69,0.67,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.35,5.52,6.75,6.58,6.05,5.29,5.19,5.21,5.07,4.56,4.49,4.45,5.37
ALLSKY_SFC_SW_DWN,2017,3.61,4.61,5.12,5.92,5.75,5.37,4.81,5.35,5.09,4.18,4.57,4.26,4.88
ALLSKY_SFC_SW_DWN,2018,4.21,5.14,5.92,6.35,5.97,5.19,4.9,5.2,4.76,5.56,4.54,4.2,5.16
ALLSKY_SFC_SW_DWN,2019,4.15,5.74,6.24,6.5,6.03,5.48,4.92,5.05,5.27,5.34,4.66,4.33,5.3
ALLSKY_SFC_SW_DWN,2020,5.14,4.98,6.31,6.48,5.75,5.11,5.2,5.29,5.41,4.71,4.77,4.32,5.29
