-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  7.5366   Longitude 124.9698 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 518.74 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,23.14,23.89,25.24,26.3,25.4,24.62,24.35,24.04,24.04,24.06,23.78,23.78,24.38
T2M,2017,23.12,22.93,23.45,24.44,24.83,24.3,23.59,23.97,24.17,23.89,23.82,23.71,23.86
T2M,2018,23.09,23.79,23.73,24.73,24.95,24.12,23.67,23.54,23.76,24.43,23.75,23.78,23.94
T2M,2019,22.94,22.32,23.63,24.85,25.39,24.75,23.65,23.76,24.12,24.48,24.18,23.62,23.98
T2M,2020,23.85,23.37,24.19,25.44,25.88,24.61,24.17,24.15,24.55,24.12,23.96,23.74,24.34
QV2M,2016,15.5,15.62,15.08,15.81,17.4,17.4,16.91,16.91,17.03,17.27,17.21,17.15,16.6
QV2M,2017,16.85,16.11,16.6,17.15,18.01,17.33,16.85,17.27,17.4,17.33,17.33,17.09,17.09
QV2M,2018,16.72,16.72,16.05,17.21,17.7,17.09,17.15,16.97,16.97,17.21,16.97,16.97,16.97
QV2M,2019,16.05,14.53,15.56,16.66,17.76,17.88,16.85,16.85,16.72,17.33,16.97,16.66,16.66
QV2M,2020,16.6,15.62,15.87,15.75,17.7,17.4,16.97,16.97,17.33,17.33,17.27,17.15,16.85
CLRSKY_KT,2016,0.72,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
CLRSKY_KT,2017,0.7,0.71,0.71,0.71,0.7,0.7,0.69,0.7,0.7,0.69,0.7,0.7,0.7
CLRSKY_KT,2018,0.7,0.7,0.72,0.71,0.7,0.7,0.69,0.69,0.7,0.7,0.71,0.71,0.7
CLRSKY_KT,2019,0.7,0.73,0.72,0.71,0.7,0.7,0.7,0.7,0.68,0.7,0.7,0.7,0.7
CLRSKY_KT,2020,0.71,0.71,0.72,0.72,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.7
ALLSKY_SFC_SW_DWN,2016,5.71,5.71,6.34,6.16,5.43,5.02,5.33,5.12,5.22,4.86,4.78,4.5,5.35
ALLSKY_SFC_SW_DWN,2017,3.95,4.79,5.1,5.7,5.28,5.02,4.88,5,4.96,4.53,4.6,4.67,4.87
ALLSKY_SFC_SW_DWN,2018,4.43,5.07,5.93,5.91,5.73,5.09,4.88,4.91,4.82,5.34,5.16,4.85,5.18
ALLSKY_SFC_SW_DWN,2019,4.32,6.06,5.71,6.05,5.73,4.95,4.74,5.28,5.23,5.21,5.15,4.9,5.27
ALLSKY_SFC_SW_DWN,2020,5.22,5.39,6.06,6.21,5.16,5.05,5.34,5.26,5.23,4.63,4.79,4.66,5.25
