-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  6.7698   Longitude 125.3102 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 334.93 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.25,26.21,27.47,28.48,27.09,25.86,25.57,25.26,25.08,25.22,25.05,25.13,25.97
T2M,2017,24.35,24.16,24.79,25.76,25.92,25.34,24.8,25.07,25.3,25.03,25.08,24.93,25.05
T2M,2018,24.4,24.96,25.06,25.87,26.09,25.28,24.87,24.8,24.8,25.54,25.15,25.09,25.16
T2M,2019,24.22,23.89,25.47,26.79,26.6,25.97,24.77,25.04,25.3,25.64,25.36,24.98,25.34
T2M,2020,25.29,25.15,26.26,27.56,27.44,25.83,25.25,25.32,25.66,25.26,25.26,25.01,25.77
QV2M,2016,15.56,15.5,14.89,15.81,17.76,17.82,17.46,17.27,17.46,17.76,17.76,17.7,16.91
QV2M,2017,17.4,16.72,17.27,17.7,18.43,17.88,17.33,17.7,17.82,17.94,17.88,17.76,17.64
QV2M,2018,17.33,17.4,16.72,17.82,18.31,17.64,17.46,17.33,17.27,17.7,17.58,17.64,17.52
QV2M,2019,16.66,15.01,15.87,16.85,18.01,18.37,17.27,17.27,17.21,17.82,17.64,17.27,17.09
QV2M,2020,17.09,15.93,15.93,15.75,17.88,17.94,17.46,17.46,17.82,17.82,17.88,17.7,17.21
CLRSKY_KT,2016,0.7,0.71,0.72,0.71,0.7,0.7,0.7,0.69,0.7,0.69,0.7,0.69,0.7
CLRSKY_KT,2017,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.69,0.7,0.69,0.7
CLRSKY_KT,2018,0.7,0.7,0.71,0.7,0.7,0.7,0.69,0.68,0.7,0.7,0.7,0.7,0.7
CLRSKY_KT,2019,0.7,0.72,0.71,0.71,0.7,0.69,0.7,0.69,0.69,0.7,0.69,0.7,0.7
CLRSKY_KT,2020,0.7,0.7,0.71,0.72,0.7,0.7,0.7,0.7,0.71,0.69,0.7,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,5.48,5.53,6.52,6.43,5.51,5.11,5.45,5.37,5.49,5.16,4.8,4.29,5.43
ALLSKY_SFC_SW_DWN,2017,4.14,4.89,5.05,5.94,5.26,4.93,4.94,5.05,5.45,5.04,4.6,4.88,5.01
ALLSKY_SFC_SW_DWN,2018,4.31,5.26,5.96,5.82,5.54,5.25,5.22,5.32,5.8,5.75,5.3,4.83,5.36
ALLSKY_SFC_SW_DWN,2019,4.27,5.91,5.74,5.94,5.73,5.06,4.64,5.53,5.89,5.72,5.28,4.63,5.36
ALLSKY_SFC_SW_DWN,2020,4.91,5.25,5.98,6.25,5.3,5.02,5.4,5.32,5.73,4.89,5.06,4.45,5.29
