-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  18.5112   Longitude 120.6429 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 113.78 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,24.76,23.83,25.44,28.56,29.76,29,28.88,27.98,27.83,27.65,26.61,25.48,27.15
T2M,2017,24.37,23.7,25.52,27.44,28.74,28.82,28.56,28.1,28.27,27.31,27,24.4,26.87
T2M,2018,24.69,24.34,25.16,27.76,29.8,28.54,27.83,27.66,27.58,26.9,26.61,26.01,26.92
T2M,2019,24.94,25.82,26.75,28.59,28.43,29.47,28.42,27.89,27.43,27.05,25.73,25.08,27.14
T2M,2020,24.31,24.26,26.7,27.6,29.3,29.34,28.98,28.29,28.62,27.76,26.4,25.27,27.24
QV2M,2016,15.81,14.95,16.05,17.64,18.86,20.26,19.78,20.39,19.78,19.53,18.25,17.52,18.25
QV2M,2017,15.62,14.95,15.99,17.09,18.92,20.02,19.71,20.14,20.08,19.17,19.29,16.11,18.13
QV2M,2018,16.17,15.75,15.32,17.27,18.74,20.2,19.96,20.26,19.35,17.94,17.64,17.09,18.01
QV2M,2019,15.14,14.71,15.81,18.13,19.29,20.26,20.14,20.69,19.35,18.43,17.82,16.78,18.07
QV2M,2020,15.44,14.53,16.42,17.33,19.23,19.84,19.96,19.9,20.02,19.84,18.37,17.76,18.25
CLRSKY_KT,2016,0.68,0.69,0.66,0.68,0.68,0.7,0.7,0.68,0.68,0.69,0.69,0.67,0.68
CLRSKY_KT,2017,0.69,0.69,0.69,0.7,0.69,0.7,0.69,0.69,0.69,0.69,0.68,0.67,0.69
CLRSKY_KT,2018,0.67,0.69,0.7,0.7,0.7,0.69,0.69,0.67,0.69,0.69,0.7,0.68,0.69
CLRSKY_KT,2019,0.7,0.71,0.7,0.68,0.67,0.69,0.69,0.68,0.68,0.7,0.67,0.68,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.67,0.69,0.7,0.7,0.68,0.69,0.69,0.68,0.66,0.69
ALLSKY_SFC_SW_DWN,2016,4.58,5.02,5.67,6.63,6.27,6.09,5.77,3.93,4.69,4.62,4.39,3.82,5.12
ALLSKY_SFC_SW_DWN,2017,4.42,4.58,6.19,6.57,5.45,6.42,5.39,5.12,5.4,4.29,4.32,3.63,5.15
ALLSKY_SFC_SW_DWN,2018,4.16,5.03,6.33,6.68,6.94,4.61,5.54,3.83,5.3,5.37,5.08,4.21,5.26
ALLSKY_SFC_SW_DWN,2019,4.87,5.97,6.34,6.4,5.6,5.68,5.45,4.45,4.6,5.57,3.53,4.06,5.2
ALLSKY_SFC_SW_DWN,2020,4.53,5.64,6.42,6.2,5.93,6.65,6.09,5.04,5.95,4.42,4.01,3.36,5.35
