-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  14.4069   Longitude 120.8598 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 89.15 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.23,26.09,28.14,30.13,30.03,28.6,28.03,27.48,27.4,27.23,26.83,26.4,27.72
T2M,2017,25.39,25.27,27.24,29.08,29.19,28.69,27.65,27.91,27.97,27.7,27.09,26.15,27.46
T2M,2018,25.73,26.4,27.28,29.25,29.9,27.94,27.17,27.19,27.12,27.69,27.26,26.79,27.48
T2M,2019,25.33,26.13,28.44,30.11,29.33,29.14,27.76,27.46,27.32,27.73,27.06,26.36,27.69
T2M,2020,26.05,25.39,27.35,28.2,29.46,28.79,28.28,27.63,28.12,27.55,26.83,26.46,27.51
QV2M,2016,17.03,16.05,16.66,17.4,18.98,19.71,19.53,20.26,19.84,19.53,18.8,18.62,18.55
QV2M,2017,16.91,16.11,16.42,17.46,19.41,19.59,19.65,19.65,19.59,19.41,19.53,18.07,18.49
QV2M,2018,17.4,16.72,16.17,17.27,18.74,19.9,20.08,19.71,19.35,18.43,18.01,17.7,18.31
QV2M,2019,15.87,14.95,15.5,17.09,19.35,20.51,19.78,20.2,19.47,18.8,18.86,17.94,18.19
QV2M,2020,16.42,15.62,17.4,18.55,19.96,19.78,19.59,19.53,19.71,19.96,19.23,18.92,18.74
CLRSKY_KT,2016,0.69,0.7,0.7,0.7,0.69,0.68,0.68,0.68,0.69,0.68,0.68,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.69,0.69,0.67,0.68,0.69,0.68,0.68,0.67,0.68
CLRSKY_KT,2018,0.67,0.7,0.69,0.7,0.7,0.67,0.67,0.67,0.69,0.69,0.69,0.68,0.68
CLRSKY_KT,2019,0.7,0.71,0.7,0.7,0.68,0.69,0.68,0.67,0.67,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.69,0.69,0.68,0.69,0.68,0.69,0.67,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,5.1,5.29,6.42,6.92,6.16,5.49,5.2,3.88,4.64,4.49,4.44,4.09,5.17
ALLSKY_SFC_SW_DWN,2017,4.26,5.31,6.24,6.65,6,5.9,4.38,5.15,4.95,4.4,4.43,4.02,5.14
ALLSKY_SFC_SW_DWN,2018,4.33,5.65,6.27,6.75,6.52,4.28,3.54,3.88,5.17,5.67,5.09,3.94,5.08
ALLSKY_SFC_SW_DWN,2019,4.87,6,6.73,6.86,5.88,5.71,4.78,3.79,4.39,5.7,4.27,4.43,5.28
ALLSKY_SFC_SW_DWN,2020,4.85,5.55,6.67,6.57,6.37,5.89,5.58,4.66,5.6,4.13,4.3,4.04,5.35
